# molecule         = H2
# geometry         = H 0 0 0; H 0 0 {R:.6f}
# basis            = sadlej
# basis_source     = sadlej.gbs
# lambda           = 0.100000
# omega            = 0.468700
# mode_dir         = [0.0, 0.0, 1.0]
# scheme           = axial
# offdiag          = none
# method           = QED-FCI
# nboson_max       = 8
# n_fock_states    = 9
# ff_step_h        = 0.001
# n_field_points   = 9
# fci_tol          = 1e-11
# fci_max_cycle    = 300
# scf_conv_tol     = 1e-12
# center_geometry  = True
# frozen_core_orbitals = 0
# coherent_state   = True
# z_selfconsistent_iter = 0
# R_range_Ang      = 0.4:0.1:5.0
# R_e_ref_Ang      = 0.7414
# pyscf            = 2.11.0
# python           = 3.13.12
# host             = fedora
# date             = 2026-08-17 21:43:44
# columns          = R,mu_abs,mu_x,mu_y,mu_z,a_xx,a_yy,a_zz,a_xz,a_iso,err_xx,err_yy,err_zz,dse_mu_z,dse_a_xx,dse_a_yy,dse_a_zz,dse_a_iso,boson_gap,status
#             R         mu_abs           mu_x           mu_y           mu_z           a_xx           a_yy           a_zz           a_xz          a_iso         err_xx         err_yy         err_zz       dse_mu_z       dse_a_xx       dse_a_yy       dse_a_zz      dse_a_iso      boson_gap         status
     0.400000  FAILED  # быстрая свёртка расходится с эталонной
     0.500000       0.000000       0.000000       0.000000      -0.000000       2.886083       2.886083       3.928893       0.000000       3.233686       0.000048       0.000048       0.000115      -0.000000       2.843030       2.843030       3.643589       3.109883            nan  OK
     0.600000       0.000000      -0.000000       0.000000      -0.000000       3.451136       3.451136       4.872831       0.000000       3.925034       0.000046       0.000046       0.000132       0.000000       3.393094       3.393094       4.478890       3.755026            nan  OK
     0.700000       0.000000      -0.000000       0.000000      -0.000000       4.057226       4.057226       5.983304       0.000000       4.699252       0.000058       0.000058       0.000170       0.000000       3.982137       3.982137       5.442516       4.468930            nan  OK
     0.800000       0.000000      -0.000000       0.000000      -0.000000       4.685438       4.685438       7.249333       0.000000       5.540070       0.000075       0.000075       0.000224       0.000000       4.591664       4.591664       6.515975       5.233101            nan  OK
     0.900000       0.000000      -0.000000       0.000000       0.000000       5.317409       5.317409       8.650518       0.000000       6.428445       0.000093       0.000093       0.000288       0.000000       5.203779       5.203779       7.671882       6.026480            nan  OK
     1.000000       0.000000       0.000000       0.000000      -0.000000       5.935726       5.935726      10.153470       0.000000       7.341641       0.000109       0.000109       0.000369       0.000000       5.801499       5.801499       8.871690       6.824896            nan  OK
     1.100000       0.000000       0.000000       0.000000      -0.000000       6.524128       6.524128      11.708661       0.000000       8.252305       0.000127       0.000127       0.000473      -0.000000       6.368895       6.368895      10.064420       7.600737            nan  OK
     1.200000       0.000000       0.000000       0.000000      -0.000000       7.067893       7.067893      13.249234       0.000000       9.128340       0.000144       0.000144       0.000612       0.000000       6.891481       6.891481      11.187764       8.323575            nan  OK
     1.300000       0.000000       0.000000       0.000000      -0.000000       7.554300       7.554300      14.693226       0.000000       9.933942       0.000160       0.000160       0.000799       0.000000       7.356767       7.356767      12.172632       8.962055            nan  OK
     1.400000       0.000000      -0.000000       0.000000       0.000000       7.973273       7.973273      15.950562       0.000000      10.632369       0.000174       0.000174       0.001048      -0.000000       7.755033       7.755033      12.951775       9.487280            nan  OK
     1.500000       0.000000      -0.000000       0.000000       0.000000       8.318238       8.318238      16.935053       0.000000      11.190510       0.000190       0.000190       0.001373       0.000000       8.080350       8.080350      13.471608       9.877436            nan  OK
     1.600000       0.000000      -0.000000       0.000000      -0.000000       8.587009       8.587009      17.579623       0.000000      11.584547       0.000202       0.000202       0.001766       0.000000       8.331512       8.331512      13.704221      10.122415            nan  OK
     1.700000       0.000000      -0.000000       0.000000      -0.000000       8.782213       8.782213      17.850681       0.000000      11.805036       0.000213       0.000213       0.002202      -0.000000       8.512407       8.512407      13.655182      10.226665            nan  OK
     1.800000       0.000000      -0.000000       0.000000      -0.000000       8.911041       8.911041      17.756591       0.000000      11.859558       0.000222       0.000222       0.002637      -0.000000       8.631468       8.631468      13.363344      10.208760            nan  OK
     1.900000       0.000000      -0.000000       0.000000       0.000000       8.984156       8.984156      17.346315       0.000000      11.771542       0.000233       0.000233       0.003018      -0.000000       8.700234       8.700234      12.891899      10.097456            nan  OK
     2.000000       0.000000      -0.000000       0.000000       0.000000       9.014092       9.014092      16.698057       0.000000      11.575414       0.000238       0.000238       0.003292      -0.000000       8.731418       8.731418      12.313861       9.925566            nan  OK
     2.100000       0.000000      -0.000000       0.000000       0.000000       9.013446       9.013446      15.901965       0.000000      11.309619       0.000239       0.000239       0.003431      -0.000000       8.737074       8.737074      11.697525       9.723891            nan  OK
     2.200000       0.000000       0.000000       0.000000      -0.000000       8.993433       8.993433      15.043188       0.000000      11.010018       0.000244       0.000244       0.003438      -0.000000       8.727336       8.727336      11.096535       9.517069            nan  OK
     2.300000       0.000000      -0.000000       0.000000      -0.000000       8.963090       8.963090      14.190308       0.000000      10.705496       0.000244       0.000244       0.003329      -0.000000       8.709875       8.709875      10.546234       9.321994            nan  OK
     2.400000       0.000000      -0.000000       0.000000      -0.000000       8.928989       8.928989      13.390730       0.000000      10.416236       0.000240       0.000240       0.003133      -0.000000       8.689950       8.689950      10.065071       9.148324            nan  OK
     2.500000       0.000000      -0.000000       0.000000      -0.000000       8.895458       8.895458      12.671774       0.000000      10.154230       0.000242       0.000242       0.002888      -0.000000       8.670812       8.670812       9.658632       9.000086            nan  OK
     2.600000       0.000000      -0.000000       0.000000      -0.000000       8.865093       8.865093      12.044896       0.000000       9.925027       0.000224       0.000224       0.002611       0.000000       8.654212       8.654212       9.324171       8.877532            nan  OK
     2.700000       0.000000      -0.000000       0.000000      -0.000000       8.839065       8.839065      11.510567       0.000000       9.729566       0.000234       0.000234       0.002340       0.000000       8.640880       8.640880       9.054409       8.778723            nan  OK
     2.800000       0.000000       0.000000       0.000000      -0.000000       8.817817       8.817817      11.062768       0.000000       9.566134       0.000233       0.000233       0.002076      -0.000000       8.630907       8.630907       8.840219       8.700678            nan  OK
     2.900000       0.000000       0.000000       0.000000      -0.000000       8.801176       8.801176      10.692146       0.000000       9.431500       0.000231       0.000231       0.001831      -0.000000       8.624023       8.624023       8.672285       8.640110            nan  OK
     3.000000       0.000000       0.000000       0.000000      -0.000000       8.788690       8.788690      10.388228       0.000000       9.321870       0.000229       0.000229       0.001609       0.000000       8.619783       8.619783       8.541991       8.593852            nan  OK
     3.100000       0.000000       0.000000       0.000000      -0.000000       8.779777       8.779777      10.140700       0.000000       9.233418       0.000227       0.000227       0.001413      -0.000000       8.617684       8.617684       8.441807       8.559058            nan  OK
     3.200000       0.000000      -0.000000       0.000000      -0.000000       8.773822       8.773822       9.940093       0.000000       9.162579       0.000225       0.000225       0.001241      -0.000000       8.617237       8.617237       8.365389       8.533287            nan  OK
     3.300000       0.000000      -0.000000       0.000000      -0.000000       8.770243       8.770243       9.778079       0.000000       9.106188       0.000223       0.000223       0.001092       0.000000       8.618003       8.618003       8.307513       8.514506            nan  OK
     3.400000       0.000000      -0.000000       0.000000      -0.000000       8.768520       8.768520       9.647530       0.000000       9.061523       0.000221       0.000221       0.000963       0.000000       8.619614       8.619614       8.263955       8.501061            nan  OK
     3.500000       0.000000      -0.000000       0.000000      -0.000000       8.768210       8.768210       9.542462       0.000000       9.026294       0.000219       0.000219       0.000853       0.000000       8.621775       8.621775       8.231340       8.491630            nan  OK
     3.600000       0.000000      -0.000000       0.000000      -0.000000       8.768948       8.768948       9.457917       0.000000       8.998604       0.000218       0.000218       0.000760       0.000000       8.624258       8.624258       8.206999       8.485172            nan  OK
     3.700000       0.000000      -0.000000       0.000000      -0.000000       8.770442       8.770442       9.389825       0.000000       8.976903       0.000219       0.000219       0.000682      -0.000000       8.626901       8.626901       8.188838       8.480880            nan  OK
     3.800000       0.000000      -0.000000       0.000000      -0.000000       8.772474       8.772474       9.334877       0.000000       8.959942       0.000218       0.000218       0.000615       0.000000       8.629590       8.629590       8.175231       8.478137            nan  OK
     3.900000       0.000000      -0.000000       0.000000      -0.000000       8.774870       8.774870       9.290384       0.000000       8.946708       0.000217       0.000217       0.000557       0.000000       8.632253       8.632253       8.164925       8.476477            nan  OK
     4.000000       0.000000       0.000000       0.000000      -0.000000       8.777499       8.777499       9.254178       0.000000       8.936392       0.000217       0.000217       0.000509      -0.000000       8.634849       8.634849       8.156967       8.475555            nan  OK
