# molecule         = H2
# geometry         = H 0 0 0; H 0 0 {R:.6f}
# basis            = sadlej
# basis_source     = sadlej.gbs
# lambda           = 0.000000
# omega            = 0.468700
# mode_dir         = [1.0, 0.0, 0.0]
# scheme           = general
# offdiag          = none
# method           = QED-FCI
# nboson_max       = 8
# n_fock_states    = 9
# ff_step_h        = 0.001
# n_field_points   = 13
# fci_tol          = 1e-11
# fci_max_cycle    = 300
# scf_conv_tol     = 1e-12
# center_geometry  = True
# frozen_core_orbitals = 0
# coherent_state   = True
# z_selfconsistent_iter = 0
# R_range_Ang      = 0.4:0.1:5.0
# R_e_ref_Ang      = 0.7414
# pyscf            = 2.11.0
# python           = 3.13.12
# host             = fedora
# date             = 2026-08-17 21:45:34
# columns          = R,mu_abs,mu_x,mu_y,mu_z,a_xx,a_yy,a_zz,a_xz,a_iso,err_xx,err_yy,err_zz,dse_mu_z,dse_a_xx,dse_a_yy,dse_a_zz,dse_a_iso,boson_gap,status
#             R         mu_abs           mu_x           mu_y           mu_z           a_xx           a_yy           a_zz           a_xz          a_iso         err_xx         err_yy         err_zz       dse_mu_z       dse_a_xx       dse_a_yy       dse_a_zz      dse_a_iso      boson_gap         status
     0.400000  FAILED  # быстрая свёртка расходится с эталонной
     0.500000       0.000000      -0.000000       0.000000       0.000000       2.906418       2.906418       3.993517       0.000000       3.268784       0.000035       0.000035       0.000106      -0.000000       2.906423       2.906423       3.993521       3.268789            nan  OK
     0.600000       0.000000      -0.000000      -0.000000       0.000000       3.475711       3.475711       4.943784       0.000000       3.965069       0.000045       0.000045       0.000137      -0.000000       3.475711       3.475711       4.943783       3.965068            nan  OK
     0.700000       0.000000      -0.000000       0.000000      -0.000000       4.085762       4.085762       6.061448       0.000000       4.744324       0.000061       0.000061       0.000181       0.000000       4.085763       4.085763       6.061449       4.744325            nan  OK
     0.800000       0.000000      -0.000000      -0.000000       0.000000       4.717724       4.717724       7.335842       0.000000       5.590430       0.000078       0.000078       0.000234      -0.000000       4.717724       4.717724       7.335842       5.590430            nan  OK
     0.900000       0.000000      -0.000000      -0.000000      -0.000000       5.353402       5.353402       8.747274       0.000000       6.484693       0.000095       0.000095       0.000300      -0.000000       5.353401       5.353401       8.747274       6.484692            nan  OK
     1.000000       0.000000      -0.000000      -0.000000      -0.000000       5.975626       5.975626      10.263519       0.000000       7.404924       0.000113       0.000113       0.000384       0.000000       5.975626       5.975626      10.263520       7.404924            nan  OK
     1.100000       0.000000      -0.000000      -0.000000       0.000000       6.568379       6.568379      11.836627       0.000000       8.324461       0.000131       0.000131       0.000490      -0.000000       6.568379       6.568379      11.836628       8.324462            nan  OK
     1.200000       0.000000      -0.000000      -0.000000       0.000000       7.117123       7.117123      13.401578       0.000000       9.211941       0.000149       0.000148       0.000628      -0.000000       7.117123       7.117123      13.401578       9.211941            nan  OK
     1.300000       0.000000      -0.000000      -0.000000       0.000000       7.609237       7.609237      14.878130       0.000000      10.032201       0.000166       0.000165       0.000815       0.000000       7.609237       7.609237      14.878130      10.032201            nan  OK
     1.400000       0.000000      -0.000000      -0.000000      -0.000000       8.034633       8.034633      16.177164       0.000000      10.748810       0.000182       0.000181       0.001065       0.000000       8.034633       8.034633      16.177164      10.748810            nan  OK
     1.500000       0.000000      -0.000000      -0.000000       0.000000       8.386606       8.386606      17.211881       0.000000      11.328364       0.000197       0.000196       0.001391      -0.000000       8.386605       8.386605      17.211881      11.328364            nan  OK
     1.600000       0.000000      -0.000000      -0.000000       0.000000       8.662691       8.662691      17.912395       0.000000      11.745926       0.000210       0.000210       0.001790      -0.000000       8.662689       8.662689      17.912394      11.745924            nan  OK
     1.700000       0.000000      -0.000000      -0.000000      -0.000000       8.865142       8.865142      18.240091       0.000000      11.990125       0.000223       0.000223       0.002241      -0.000000       8.865141       8.865141      18.240091      11.990124            nan  OK
     1.800000       0.000000      -0.000000      -0.000000       0.000000       9.000726       9.000726      18.196947       0.000000      12.066133       0.000234       0.000234       0.002699      -0.000000       9.000726       9.000726      18.196947      12.066133            nan  OK
     1.900000       0.000000      -0.000000      -0.000000       0.000000       9.079740       9.079740      17.825728       0.000000      11.995070       0.000242       0.000242       0.003110       0.000000       9.079740       9.079740      17.825728      11.995069            nan  OK
     2.000000       0.000000      -0.000000      -0.000000       0.000000       9.114455       9.114456      17.200267       0.000000      11.809726       0.000246       0.000245       0.003419      -0.000000       9.114451       9.114451      17.200262      11.809721            nan  OK
     2.100000       0.000000      -0.000000      -0.000000       0.000000       9.117381       9.117383      16.409166       0.000000      11.547977       0.000248       0.000246       0.003595       0.000000       9.117373       9.117373      16.409156      11.547967            nan  OK
     2.200000       0.000000      -0.000000       0.000000       0.000000       9.099817       9.099820      15.538853       0.000000      11.246163       0.000251       0.000248       0.003636      -0.000000       9.099811       9.099811      15.538844      11.246155            nan  OK
     2.300000       0.000000      -0.000000      -0.000000      -0.000000       9.070980       9.070988      14.661175       0.000000      10.934381       0.000249       0.000244       0.003546      -0.000000       9.070971       9.070971      14.661157      10.934366            nan  OK
     2.400000       0.000000      -0.000000       0.000000       0.000000       9.037662       9.037662      13.827609       0.000000      10.634311       0.000253       0.000253       0.003376       0.000000       9.037662       9.037662      13.827609      10.634311            nan  OK
     2.500000       0.000000      -0.000000       0.000000      -0.000000       9.004465       9.004468      13.069531       0.000000      10.359488       0.000251       0.000248       0.003129       0.000000       9.004462       9.004462      13.069525      10.359483            nan  OK
     2.600000       0.000000      -0.000000       0.000000      -0.000000       8.974129       8.974134      12.401668       0.000000      10.116644       0.000248       0.000244       0.002850      -0.000000       8.974125       8.974125      12.401656      10.116636            nan  OK
     2.700000       0.000000       0.000000       0.000000       0.000000       8.948053       8.948053      11.826938       0.000000       9.907681       0.000247       0.000247       0.002570      -0.000000       8.948053       8.948053      11.826937       9.907681            nan  OK
     2.800000       0.000000      -0.000000      -0.000000      -0.000000       8.926735       8.926742      11.340910       0.000000       9.731462       0.000243       0.000239       0.002283       0.000000       8.926732       8.926732      11.340895       9.731453            nan  OK
     2.900000       0.000000       0.000000       0.000000      -0.000000       8.910071       8.910072      10.935071       0.000000       9.585071       0.000242       0.000242       0.002029      -0.000000       8.910071       8.910071      10.935070       9.585071            nan  OK
     3.000000       0.000000      -0.000000       0.000000      -0.000000       8.897657       8.897657      10.599370       0.000000       9.464895       0.000240       0.000240       0.001791      -0.000000       8.897657       8.897657      10.599370       9.464894            nan  OK
     3.100000       0.000000      -0.000000      -0.000000      -0.000000       8.888920       8.888920      10.323529       0.000000       9.367123       0.000238       0.000238       0.001577       0.000000       8.888919       8.888919      10.323529       9.367122            nan  OK
     3.200000       0.000000      -0.000000      -0.000000      -0.000000       8.883245       8.883245      10.097925       0.000000       9.288138       0.000236       0.000236       0.001389      -0.000000       8.883245       8.883245      10.097924       9.288138            nan  OK
     3.300000       0.000000      -0.000000      -0.000000      -0.000000       8.880040       8.880040       9.913968       0.000000       9.224683       0.000235       0.000235       0.001225      -0.000000       8.880039       8.880039       9.913967       9.224682            nan  OK
     3.400000       0.000000       0.000000      -0.000000      -0.000000       8.878770       8.878770       9.764227       0.000000       9.173922       0.000233       0.000233       0.001083       0.000000       8.878770       8.878770       9.764227       9.173922            nan  OK
     3.500000       0.000000       0.000000      -0.000000       0.000000       8.878976       8.878976       9.642411       0.000000       9.133454       0.000232       0.000232       0.000961       0.000000       8.878976       8.878976       9.642411       9.133454            nan  OK
     3.600000       0.000000       0.000000      -0.000000       0.000000       8.880278       8.880278       9.543270       0.000000       9.101275       0.000230       0.000231       0.000856       0.000000       8.880278       8.880278       9.543270       9.101275            nan  OK
     3.700000       0.000000       0.000000      -0.000000       0.000000       8.882371       8.882371       9.462468       0.000000       9.075737       0.000229       0.000229       0.000766       0.000000       8.882371       8.882371       9.462468       9.075736            nan  OK
     3.800000       0.000000       0.000000      -0.000000       0.000000       8.885016       8.885016       9.396453       0.000000       9.055495       0.000228       0.000228       0.000689      -0.000000       8.885016       8.885016       9.396453       9.055495            nan  OK
     3.900000       0.000000       0.000000      -0.000000       0.000000       8.888032       8.888032       9.342327       0.000000       9.039464       0.000227       0.000228       0.000624       0.000000       8.888032       8.888032       9.342327       9.039464            nan  OK
     4.000000       0.000000       0.000000      -0.000000       0.000000       8.891283       8.891282       9.297739       0.000000       9.026768       0.000227       0.000227       0.000569       0.000000       8.891283       8.891283       9.297739       9.026768            nan  OK
     4.100000       0.000000       0.000000      -0.000000       0.000000       8.894667       8.894667       9.260791       0.000000       9.016708       0.000226       0.000226       0.000522       0.000000       8.894667       8.894667       9.260792       9.016709            nan  OK
     4.200000       0.000000       0.000000      -0.000000       0.000000       8.898112       8.898112       9.229954       0.000000       9.008726       0.000225       0.000225       0.000482       0.000000       8.898112       8.898112       9.229954       9.008726            nan  OK
     4.300000       0.000000       0.000000      -0.000000       0.000000       8.901566       8.901565       9.204002       0.000000       9.002378       0.000224       0.000224       0.000448       0.000000       8.901565       8.901565       9.204002       9.002377            nan  OK
     4.400000       0.000000       0.000000       0.000000       0.000000       8.904988       8.904988       9.181959       0.000000       8.997312       0.000224       0.000224       0.000419       0.000000       8.904988       8.904988       9.181959       8.997312            nan  OK
     4.500000       0.000000      -0.000000       0.000000       0.000000       8.908351       8.908352       9.163054       0.000000       8.993252       0.000223       0.000223       0.000394      -0.000000       8.908351       8.908351       9.163054       8.993252            nan  OK
     4.600000       0.000000      -0.000000       0.000000       0.000000       8.911635       8.911635       9.146680       0.000000       8.989983       0.000223       0.000222       0.000373      -0.000000       8.911635       8.911635       9.146679       8.989983            nan  OK
     4.700000       0.000000      -0.000000       0.000000       0.000000       8.914823       8.914823       9.132360       0.000000       8.987336       0.000222       0.000222       0.000355       0.000000       8.914823       8.914823       9.132360       8.987335            nan  OK
     4.800000       0.000000      -0.000000       0.000000       0.000000       8.917903       8.917904       9.119727       0.000000       8.985178       0.000221       0.000221       0.000339       0.000000       8.917903       8.917903       9.119727       8.985178            nan  OK
     4.900000       0.000000      -0.000000       0.000000       0.000000       8.920866       8.920867       9.108495       0.000000       8.983409       0.000221       0.000221       0.000326      -0.000000       8.920866       8.920866       9.108495       8.983409            nan  OK
     5.000000       0.000000      -0.000000       0.000000       0.000000       8.923705       8.923706       9.098442       0.000000       8.981951       0.000221       0.000220       0.000314      -0.000000       8.923705       8.923705       9.098442       8.981951            nan  OK
