# molecule         = H2
# geometry         = H 0 0 0; H 0 0 {R:.6f}
# basis            = sadlej
# basis_source     = sadlej.gbs
# lambda           = 0.050000
# omega            = 0.020100
# mode_dir         = [0.0, 0.0, 1.0]
# scheme           = axial
# offdiag          = none
# method           = QED-FCI
# nboson_max       = 8
# n_fock_states    = 9
# ff_step_h        = 0.001
# n_field_points   = 9
# fci_tol          = 1e-11
# fci_max_cycle    = 300
# scf_conv_tol     = 1e-12
# center_geometry  = True
# frozen_core_orbitals = 0
# coherent_state   = True
# z_selfconsistent_iter = 0
# R_range_Ang      = 0.4:0.1:5.0
# R_e_ref_Ang      = 0.7414
# pyscf            = 2.11.0
# python           = 3.13.12
# host             = fedora
# date             = 2026-08-17 22:03:09
# columns          = R,mu_abs,mu_x,mu_y,mu_z,a_xx,a_yy,a_zz,a_xz,a_iso,err_xx,err_yy,err_zz,dse_mu_z,dse_a_xx,dse_a_yy,dse_a_zz,dse_a_iso,boson_gap,status
#             R         mu_abs           mu_x           mu_y           mu_z           a_xx           a_yy           a_zz           a_xz          a_iso         err_xx         err_yy         err_zz       dse_mu_z       dse_a_xx       dse_a_yy       dse_a_zz      dse_a_iso      boson_gap         status
     0.400000  FAILED  # быстрая свёртка расходится с эталонной
     0.500000       0.000000       0.000000       0.000000      -0.000000       2.890727       2.890727       3.938135       0.000000       3.239863       0.000007       0.000007       0.000072       0.000000       2.889499       2.889499       3.895347       3.224781            nan  OK
     0.600000       0.000000       0.000000       0.000000      -0.000000       3.455262       3.455262       4.877256       0.000000       3.929260       0.000046       0.000046       0.000128      -0.000000       3.453594       3.453594       4.812818       3.906668            nan  OK
     0.700000       0.000000      -0.000000       0.000000      -0.000000       4.060176       4.060176       5.981668       0.000000       4.700674       0.000057       0.000057       0.000164      -0.000000       4.057912       4.057912       5.886174       4.667333            nan  OK
     0.800000       0.000000      -0.000000       0.000000       0.000000       4.686625       4.686625       7.240358       0.000000       5.537869       0.000074       0.000074       0.000215      -0.000000       4.683672       4.683672       7.102226       5.489857            nan  OK
     0.900000       0.000000      -0.000000       0.000000      -0.000000       5.316470       5.316470       8.632967       0.000000       6.421969       0.000092       0.000092       0.000277       0.000000       5.312741       5.312741       8.438691       6.354724            nan  OK
     1.000000       0.000000      -0.000000       0.000000      -0.000000       5.932559       5.932559      10.125967       0.000000       7.330362       0.000109       0.000109       0.000354       0.000000       5.927978       5.927978       9.860995       7.238984            nan  OK
     1.100000       0.000000      -0.000000       0.000000      -0.000000       6.518873       6.518873      11.669279       0.000000       8.235675       0.000119       0.000119       0.000447      -0.000000       6.513374       6.513374      11.319621       8.115457            nan  OK
     1.200000       0.000000      -0.000000       0.000000      -0.000000       7.060830       7.060830      13.194852       0.000000       9.105504       0.000137       0.000137       0.000581      -0.000000       7.054391       7.054391      12.749471       8.952751            nan  OK
     1.300000       0.000000      -0.000000       0.000000       0.000000       7.545844       7.545844      14.618972       0.000000       9.903553       0.000144       0.000144       0.000751       0.000000       7.538431       7.538431      14.072571       9.716478            nan  OK
     1.400000       0.000000      -0.000000       0.000000       0.000000       7.963836       7.963836      15.849486       0.000000      10.592386       0.000175       0.000175       0.001009      -0.000000       7.955497       7.955497      15.205243      10.372079            nan  OK
     1.500000       0.000000      -0.000000       0.000000       0.000000       8.308360       8.308360      16.798896       0.000000      11.138539       0.000179       0.000179       0.001312       0.000000       8.299093       8.299093      16.069800      10.889329            nan  OK
     1.600000       0.000000      -0.000000       0.000000       0.000000       8.577196       8.577196      17.400359       0.000000      11.518250       0.000199       0.000199       0.001692      -0.000000       8.567115       8.567115      16.608789      11.247673            nan  OK
     1.700000       0.000000      -0.000000       0.000000       0.000000       8.773073       8.773073      17.623135       0.000000      11.723093       0.000210       0.000210       0.002099      -0.000000       8.762310       8.762310      16.797812      11.440811            nan  OK
     1.800000       0.000000      -0.000000       0.000000       0.000000       8.903241       8.903241      17.480740       0.000000      11.762408       0.000209       0.000209       0.002484      -0.000000       8.891989       8.891989      16.652130      11.478703            nan  OK
