# molecule         = H2
# geometry         = H 0 0 0; H 0 0 {R:.6f}
# basis            = sadlej
# basis_source     = sadlej.gbs
# lambda           = 0.010000
# omega            = 0.020100
# mode_dir         = [1.0, 0.0, 0.0]
# scheme           = general
# offdiag          = none
# method           = QED-FCI
# nboson_max       = 8
# n_fock_states    = 9
# ff_step_h        = 0.001
# n_field_points   = 13
# fci_tol          = 1e-11
# fci_max_cycle    = 300
# scf_conv_tol     = 1e-12
# center_geometry  = True
# frozen_core_orbitals = 0
# coherent_state   = True
# z_selfconsistent_iter = 0
# R_range_Ang      = 0.4:0.1:5.0
# R_e_ref_Ang      = 0.7414
# pyscf            = 2.11.0
# python           = 3.13.12
# host             = fedora
# date             = 2026-08-17 22:11:01
# columns          = R,mu_abs,mu_x,mu_y,mu_z,a_xx,a_yy,a_zz,a_xz,a_iso,err_xx,err_yy,err_zz,dse_mu_z,dse_a_xx,dse_a_yy,dse_a_zz,dse_a_iso,boson_gap,status
#             R         mu_abs           mu_x           mu_y           mu_z           a_xx           a_yy           a_zz           a_xz          a_iso         err_xx         err_yy         err_zz       dse_mu_z       dse_a_xx       dse_a_yy       dse_a_zz      dse_a_iso      boson_gap         status
     0.400000  FAILED  # быстрая свёртка расходится с эталонной
     0.500000       0.000000      -0.000000      -0.000000       0.000000       2.906016       2.906070       3.993010       0.000000       3.268366       0.000057       0.000057       0.000015      -0.000000       2.904965       2.905902       3.992812       3.267893            nan  OK
     0.600000       0.000000      -0.000000      -0.000000      -0.000000       3.474960       3.475007       4.942878       0.000000       3.964281       0.000047       0.000047       0.000139       0.000000       3.473671       3.474980       4.942810       3.963820            nan  OK
     0.700000       0.000000       0.000000      -0.000000      -0.000000       4.084818       4.084835       6.060262       0.000000       4.743305       0.000059       0.000059       0.000179       0.000000       4.083034       4.084794       6.060163       4.742663            nan  OK
     0.800000       0.000000       0.000000      -0.000000       0.000000       4.716584       4.716549       7.334326       0.000000       5.589153       0.000076       0.000076       0.000231      -0.000000       4.714213       4.716496       7.334196       5.588301            nan  OK
     0.900000       0.000000       0.000000      -0.000000      -0.000000       5.352076       5.351966       8.745385       0.000000       6.483142       0.000094       0.000094       0.000299       0.000000       5.349035       5.351902       8.745221       6.482053            nan  OK
     1.000000       0.000000      -0.000000      -0.000000      -0.000000       5.974133       5.973929      10.261217       0.000000       7.403093       0.000111       0.000111       0.000381       0.000000       5.970354       5.973853      10.261014       7.401740            nan  OK
     1.100000       0.000000      -0.000000      -0.000000       0.000000       6.566741       6.566432      11.833883       0.000000       8.322352       0.000124       0.000123       0.000481       0.000000       6.562178       6.566334      11.833629       8.320714            nan  OK
     1.200000       0.000000      -0.000000      -0.000000       0.000000       7.115336       7.114918      13.398338       0.000000       9.209531       0.000146       0.000145       0.000624      -0.000000       7.109999       7.114816      13.398047       9.207621            nan  OK
     1.300000       0.000000      -0.000000      -0.000000       0.000000       7.607316       7.606797      14.874371       0.000000      10.029495       0.000163       0.000162       0.000811       0.000000       7.601226       7.606685      14.874034      10.027315            nan  OK
     1.400000       0.000000       0.000000      -0.000000      -0.000000       8.032586       8.031981      16.172863       0.000000      10.745810       0.000177       0.000177       0.001060       0.000000       8.025800       8.031856      16.172478      10.743378            nan  OK
