# molecule         = LiH
# geometry         = Li 0 0 0; H 0 0 {R:.6f}
# basis            = sadlej
# basis_source     = sadlej.gbs
# lambda           = 0.050000
# omega            = 0.120800
# mode_dir         = [0.0, 0.0, 1.0]
# scheme           = axial
# offdiag          = none
# method           = QED-FCI
# nboson_max       = 20
# n_fock_states    = 21
# ff_step_h        = 0.0005
# n_field_points   = 9
# fci_tol          = 1e-11
# fci_max_cycle    = 300
# scf_conv_tol     = 1e-12
# center_geometry  = True
# frozen_core_orbitals = 1
# coherent_state   = True
# z_selfconsistent_iter = 4
# R_range_Ang      = 0.8:0.1:6.0
# R_e_ref_Ang      = 1.5957
# pyscf            = 2.11.0
# python           = 3.13.12
# host             = fedora
# date             = 2026-08-14 14:40:23
# columns          = R,mu_abs,mu_x,mu_y,mu_z,a_xx,a_yy,a_zz,a_xz,a_iso,err_xx,err_yy,err_zz,dse_mu_z,dse_a_xx,dse_a_yy,dse_a_zz,dse_a_iso,boson_gap,status
#             R         mu_abs           mu_x           mu_y           mu_z           a_xx           a_yy           a_zz           a_xz          a_iso         err_xx         err_yy         err_zz       dse_mu_z       dse_a_xx       dse_a_yy       dse_a_zz      dse_a_iso      boson_gap         status
     0.800000       1.890822       0.000000       0.000000      -1.890822      26.904966      26.904966      12.922433       0.000000      22.244121       0.003110       0.003110       0.002428      -1.890251      26.332099      26.332099      11.709301      21.457833       0.000000  OK
     0.900000       1.904142      -0.000000       0.000000      -1.904142      24.966356      24.966356      12.839002       0.000000      20.923904       0.002625       0.002625       0.002103      -1.904194      24.468243      24.468243      11.704605      20.213697            nan  OK
     1.000000       1.935362      -0.000000       0.000000      -1.935362      24.204378      24.204378      13.432140       0.000000      20.613632       0.002427       0.002427       0.002108      -1.936340      23.725516      23.725516      12.246972      19.899335            nan  OK
     1.100000       1.980475      -0.000000       0.000000      -1.980475      24.159526      24.159526      14.508328       0.000000      20.942460       0.002402       0.002402       0.002316      -1.982571      23.667322      23.667322      13.185430      20.173358            nan  OK
     1.200000       2.036511      -0.000000       0.000000      -2.036511      24.598650      24.598650      15.997299       0.000000      21.731533       0.002495       0.002495       0.002700      -2.039960      24.070172      24.070172      14.454601      20.864982            nan  OK
     1.300000       2.101366      -0.000000       0.000000      -2.101366      25.406285      25.406285      17.871267       0.000000      22.894612       0.002680       0.002680       0.003292      -2.106484      24.823485      24.823485      16.014376      21.887115            nan  OK
     1.400000       2.173273       0.000000       0.000000      -2.173273      26.522509      26.522509      20.120896       0.000000      24.388638       0.002942       0.002942       0.004147      -2.180438      25.869203      25.869203      17.837082      23.191829            nan  OK
     1.500000       2.250522       0.000000       0.000000      -2.250522      27.902945      27.902945      22.759834       0.000000      26.188574       0.003291       0.003291       0.005355      -2.260176      27.162149      27.162149      19.915435      24.746578            nan  OK
     1.600000       2.331546       0.000000       0.000000      -2.331546      29.506976      29.506976      25.829903       0.000000      28.281285       0.003732       0.003732       0.007044      -2.344243      28.659241      28.659241      22.263309      26.527264            nan  OK
     1.700000       2.414992       0.000000       0.000000      -2.414992      31.304375      31.304375      29.400708       0.000000      30.669820       0.004261       0.004261       0.009354      -2.431424      30.326919      30.326919      24.910774      28.521537            nan  OK
     1.800000       2.499618       0.000000       0.000000      -2.499618      33.280316      33.280316      33.569376       0.000000      33.376669       0.004870       0.004870       0.012509      -2.520638      32.146431      32.146431      27.900860      30.731241            nan  OK
     1.900000       2.584170      -0.000000       0.000000      -2.584170      35.433918      35.433918      38.462577       0.000000      36.443471       0.005629       0.005629       0.016854      -2.610810      34.112492      34.112492      31.288461      33.171148            nan  OK
     2.000000       2.667302       0.000000       0.000000      -2.667302      37.774940      37.774940      44.241260       0.000000      39.930380       0.006518       0.006518       0.022814      -2.700803      36.229819      36.229819      35.140907      35.866849            nan  OK
     2.100000       2.747539       0.000000       0.000000      -2.747539      40.320727      40.320727      51.107977       0.000000      43.916477       0.007577       0.007577       0.030992      -2.789376      38.510484      38.510484      39.540143      38.853704            nan  OK
     2.200000       2.823228       0.000000       0.000000      -2.823228      43.094688      43.094688      59.316841       0.000000      48.502073       0.008814       0.008814       0.042156      -2.875140      40.972624      40.972624      44.586388      42.177212            nan  OK
     2.300000       2.892502       0.000000       0.000000      -2.892502      46.125432      46.125432      69.184927       0.000000      53.811930       0.010278       0.010278       0.057303      -2.956507      43.640412      43.640412      50.403221      45.894682            nan  OK
     2.400000       2.953237       0.000000       0.000000      -2.953237      49.446589      49.446589      81.103696       0.000000      59.998958       0.012013       0.012013       0.077547      -3.031613      46.545064      46.545064      57.143911      50.078013            nan  OK
     2.500000       3.003006       0.000000       0.000000      -3.003006      53.096742      53.096742      95.547033       0.000000      67.246839       0.014014       0.014014       0.103929      -3.098221      49.726789      49.726789      64.998775      54.817451            nan  OK
     2.600000       3.039045       0.000000       0.000000      -3.039045      57.118835      57.118835     113.069998       0.000000      75.769223       0.016367       0.016367       0.137020      -3.153583      53.237802      53.237802      74.203107      60.226237            nan  OK
     2.700000       3.058237       0.000000       0.000000      -3.058237      61.559348      61.559348     134.289018       0.000000      85.802572       0.019031       0.019031       0.175825      -3.194269      57.146012      57.146012      85.043507      66.445177            nan  OK
     2.800000       3.057143       0.000000       0.000000      -3.057143      66.465516      66.465516     159.827442       0.000000      97.586158       0.022033       0.022033       0.216316      -3.215944      61.539618      61.539618      97.857537      73.645591            nan  OK
     2.900000       3.032099       0.000000       0.000000      -3.032099      71.880981      71.880981     190.206749       0.000000     111.322904       0.025329       0.025329       0.249022      -3.213146      66.531047      66.531047     113.013771      82.025289            nan  OK
     3.000000       2.979458       0.000000       0.000000      -2.979458      77.838289      77.838289     225.661421       0.000000     127.112666       0.028794       0.028794       0.256927      -3.179119      72.257836      72.257836     130.845846      91.787173            nan  OK
     3.100000       2.895989       0.000000       0.000000      -2.895989      84.348050      84.348050     265.871355       0.000000     144.855818       0.032273       0.032273       0.215348      -3.105921      78.874651      78.874651     151.493088     103.080796            nan  OK
     3.200000       2.779490       0.000000       0.000000      -2.779490      91.385307      91.385307     309.645973       0.000000     164.138862       0.035494       0.035494       0.098024      -2.985145      86.525947      86.525947     174.588310     115.880068            nan  OK
     3.300000       2.629556       0.000000       0.000000      -2.629556      98.875392      98.875392     354.671046       0.000000     184.140610       0.038056       0.038056       0.107775      -2.809818      95.286448      95.286448     198.783471     129.785455            nan  OK
     3.400000       2.448337       0.000000       0.000000      -2.448337     106.683856     106.683856     397.507917       0.000000     203.625209       0.039633       0.039633       0.380056      -2.577785     105.066232     105.066232     221.326745     143.819737            nan  OK
     3.500000       2.240993      -0.000000       0.000000      -2.240993     114.617862     114.617862     434.037186       0.000000     221.090970       0.039878       0.039878       0.649755      -2.295847     115.513783     115.513783     238.287640     156.438402            nan  OK
     3.600000       2.015532      -0.000000       0.000000      -2.015532     122.443220     122.443220     460.368495       0.000000     235.084978       0.038631       0.038631       0.817228      -1.981862     126.003944     126.003944     246.034568     166.014152            nan  OK
     3.700000       1.781855      -0.000000       0.000000      -1.781855     129.916718     129.916718     473.923282       0.000000     244.585573       0.035968       0.035968       0.799481      -1.661485     135.789528     135.789528     243.381499     171.653519            nan  OK
     3.800000       1.550235       0.000000       0.000000      -1.550235     136.824642     136.824642     474.176270       0.000000     249.275185       0.032154       0.032154       0.578307      -1.359971     144.261997     144.261997     232.419528     173.647841            nan  OK
     3.900000       1.329723       0.000000       0.000000      -1.329723     143.013933     143.013933     462.671612       0.000000     249.566493       0.027656       0.027656       0.210596      -1.094507     151.136703     151.136703     217.076086     173.116497            nan  OK
     4.000000       1.127016      -0.000000       0.000000      -1.127016     148.406479     148.406479     442.358996       0.000000     246.390651       0.022906       0.022906       0.205403      -0.871906     156.449693     156.449693     200.956954     171.285447            nan  OK
     4.100000       0.946059       0.000000       0.000000      -0.946059     152.994495     152.994495     416.654711       0.000000     240.881234       0.018325       0.018325       0.578238      -0.691075     160.428890     160.428890     186.254178     169.037319            nan  OK
     4.200000       0.788289       0.000000       0.000000      -0.788289     156.823987     156.823987     388.660175       0.000000     234.102717       0.014089       0.014089       0.853172      -0.546843     163.360701     163.360701     173.836136     166.852513            nan  OK
     4.300000       0.653238       0.000000       0.000000      -0.653238     159.973591     159.973591     360.743310       0.000000     226.896830       0.010347       0.010347       1.015677      -0.432844     165.509686     165.509686     163.771477     164.930283            nan  OK
     4.400000       0.539227      -0.000000       0.000000      -0.539227     162.536089     162.536089     334.455158       0.000000     219.842445       0.007246       0.007246       1.078735      -0.343042     167.088903     167.088903     155.778354     163.318720            nan  OK
     4.500000       0.443950       0.000000       0.000000      -0.443950     164.605740     164.605740     310.647263       0.000000     213.286248       0.004617       0.004617       1.067175      -0.272301     168.258334     168.258334     149.481363     161.999343            nan  OK
     4.600000       0.364901       0.000000       0.000000      -0.364901     166.269673     166.269673     289.659516       0.000000     207.399621       0.002386       0.002386       1.007008      -0.216476     169.133846     169.133846     144.525505     160.931065            nan  OK
     4.700000       0.299643      -0.000000       0.000000      -0.299643     167.604404     167.604404     271.501587       0.000000     202.236798       0.000441       0.000441       0.919787      -0.172307     169.795217     169.795217     140.611117     160.067184            nan  OK
     4.800000       0.245947      -0.000000       0.000000      -0.245947     168.675817     168.675817     255.994784       0.000000     197.782140       0.002024       0.002024       0.820959      -0.137255     170.291287     170.291287     137.508335     159.363636            nan  OK
     4.900000       0.201854      -0.000000       0.000000      -0.201854     169.531949     169.531949     242.866820       0.000000     193.976906       0.001955       0.001955       0.721635      -0.109350     170.666842     170.666842     135.024942     158.786209            nan  OK
     5.000000       0.165689      -0.000000       0.000000      -0.165689     170.222036     170.222036     231.819781       0.000000     190.754618       0.002862       0.002862       0.626897      -0.087084     170.974794     170.974794     133.025337     158.324975            nan  OK
     5.100000       0.136041       0.000000       0.000000      -0.136041     170.778795     170.778795     222.557973       0.000000     188.038521       0.003581       0.003581       0.540278      -0.069250     171.345499     171.345499     131.400674     158.030557            nan  OK
     5.200000       0.111738       0.000000       0.000000      -0.111738     171.230010     171.230010     214.809960       0.000000     185.756660       0.004195       0.004195       0.463003      -0.054944     142.603982     142.603982     130.072789     138.426918            nan  OK
     5.300000       0.091811       0.000000       0.000000      -0.091811     171.597567     171.597567     208.335109       0.000000     183.843415       0.004709       0.004709       0.395250      -0.189945    -129.758087    -129.758087     677.269781     139.251202            nan  OK
     5.400000       0.075466       0.000000       0.000000      -0.075466     171.898743     171.898743     202.925329       0.000000     182.240938       0.005116       0.005116       0.336575      -0.015453     163.709103     163.709103     122.812629     150.076945            nan  OK
     5.500000       0.062051       0.000000       0.000000      -0.062051     172.147230     172.147230     198.403705       0.000000     180.899388       0.005463       0.005463       0.286112       0.005036     172.198393     172.198393      91.807617     145.401468            nan  OK
     5.600000       0.051034       0.000000       0.000000      -0.051034     172.353714     172.353714     194.621114       0.000000     179.776181       0.005733       0.005733       0.242987      -0.008537     172.258996     172.258996     124.323617     156.280536            nan  OK
     5.700000       0.041983       0.000000       0.000000      -0.041983     172.526679     172.526679     191.452987       0.000000     178.835448       0.005975       0.005975       0.206252      -0.006275     172.321029     172.321029     124.208078     156.283379            nan  OK
     5.800000       0.034542       0.000000       0.000000      -0.034542     172.672736     172.672736     188.795614       0.000000     178.047029       0.006180       0.006180       0.175049      -0.004409     172.383519     172.383519     124.077516     156.281518            nan  OK
