# molecule         = LiH
# geometry         = Li 0 0 0; H 0 0 {R:.6f}
# basis            = sadlej
# basis_source     = sadlej.gbs
# lambda           = 0.050000
# omega            = 0.120800
# mode_dir         = [1.0, 0.0, 0.0]
# scheme           = general
# offdiag          = none
# method           = QED-FCI
# nboson_max       = 20
# n_fock_states    = 21
# ff_step_h        = 0.0005
# n_field_points   = 13
# fci_tol          = 1e-11
# fci_max_cycle    = 300
# scf_conv_tol     = 1e-12
# center_geometry  = True
# frozen_core_orbitals = 1
# coherent_state   = True
# z_selfconsistent_iter = 4
# R_range_Ang      = 0.8:0.1:6.0
# R_e_ref_Ang      = 1.5957
# pyscf            = 2.11.0
# python           = 3.13.12
# host             = fedora
# date             = 2026-08-16 13:32:58
# columns          = R,mu_abs,mu_x,mu_y,mu_z,a_xx,a_yy,a_zz,a_xz,a_iso,err_xx,err_yy,err_zz,dse_mu_z,dse_a_xx,dse_a_yy,dse_a_zz,dse_a_iso,boson_gap,status
#             R         mu_abs           mu_x           mu_y           mu_z           a_xx           a_yy           a_zz           a_xz          a_iso         err_xx         err_yy         err_zz       dse_mu_z       dse_a_xx       dse_a_yy       dse_a_zz      dse_a_iso      boson_gap         status
     0.800000       1.894552       0.000000       0.000000      -1.894552      26.704682      26.972865      13.057266       0.000000      22.244938       0.003044       0.003145       0.002623      -1.899034      23.932099      26.466222      12.541389      20.979903       0.000000  OK
     0.900000       1.907345      -0.000000       0.000000      -1.907345      24.782129      25.031857      12.983123       0.000000      20.932370       0.002544       0.002642       0.002284      -1.911631      22.377221      24.598325      12.532407      19.835984            nan  OK
     1.000000       1.938220       0.000000      -0.000000      -1.938220      24.028501      24.272982      13.592586       0.000000      20.631356       0.002344       0.002434       0.002301      -1.942740      21.768134      23.870026      13.154543      19.597568            nan  OK
     1.100000       1.983107       0.000000      -0.000000      -1.983107      23.985283      24.233555      14.685266       0.000000      20.968034       0.002301       0.002393       0.002518      -1.988115      21.738068      23.835338      14.229147      19.934184            nan  OK
     1.200000       2.038898       0.000000      -0.000000      -2.038898      24.418826      24.677518      16.191240       0.000000      21.762528       0.002386       0.002483       0.002930      -2.044594      22.094708      24.265996      15.694045      20.684916            nan  OK
     1.300000       2.103335       0.000000      -0.000000      -2.103335      25.212235      25.486347      18.093649       0.000000      22.930743       0.002563       0.002670       0.003559      -2.109905      22.739585      25.047207      17.535140      21.773977            nan  OK
     1.400000       2.174618       0.000000      -0.000000      -2.174618      26.306227      26.599336      20.396498       0.000000      24.434020       0.002825       0.002932       0.004479      -2.182255      23.622018      26.120435      19.756818      23.166424            nan  OK
     1.500000       2.251109      -0.000000      -0.000000      -2.251109      27.659772      27.974232      23.117727       0.000000      26.250577       0.003158       0.003276       0.005784      -2.260011      24.706196      27.444957      22.375363      24.842172            nan  OK
     1.600000       2.331276      -0.000000       0.000000      -2.331276      29.235273      29.573059      26.296173       0.000000      28.368168       0.003585       0.003712       0.007603      -2.341662      25.957843      28.983556      25.425976      26.789125            nan  OK
     1.700000       2.413745      -0.000000       0.000000      -2.413745      31.003711      31.367123      29.997982       0.000000      30.789605       0.004088       0.004227       0.010093      -2.425859      27.348365      30.707344      28.969278      29.008329            nan  OK
     1.800000       2.497235      -0.000000      -0.000000      -2.497235      32.950132      33.342004      34.318536       0.000000      33.536891       0.004693       0.004842       0.013489      -2.511371      28.860144      32.601039      33.093409      31.518197            nan  OK
     1.900000       2.580467      -0.000000      -0.000000      -2.580467      35.073012      35.496620      39.383741       0.000000      36.651124       0.005414       0.005576       0.018102      -2.596977      30.486306      34.662233      37.915285      34.354608            nan  OK
     2.000000       2.662092      -0.000000      -0.000000      -2.662092      37.380940      37.839908      45.353266       0.000000      40.191371       0.006268       0.006443       0.024370      -2.681394      32.227928      36.898233      43.583757      37.569973            nan  OK
     2.100000       2.740635      -0.000000       0.000000      -2.740635      39.889776      40.388038      52.426428       0.000000      44.234747       0.007289       0.007475       0.032862      -2.763223      34.091501      39.323373      50.285340      41.233405            nan  OK
     2.200000       2.814459       0.000000       0.000000      -2.814459      42.621033      43.162805      60.850086       0.000000      48.877975       0.008485       0.008684       0.044277      -2.840916      36.087355      41.957426      58.252154      45.432312            nan  OK
     2.300000       2.881728       0.000000       0.000000      -2.881728      45.600943      46.190744      70.927214       0.000000      54.239634       0.009898       0.010094       0.059462      -2.912732      38.228830      44.824843      67.771201      50.274958            nan  OK
     2.400000       2.940376       0.000000       0.000000      -2.940376      48.860115      49.502667      83.024300       0.000000      60.462361       0.011560       0.011760       0.079335      -2.976710      40.531886      47.954456      79.193410      55.893251            nan  OK
     2.500000       2.988076      -0.000000      -0.000000      -2.988076      52.433201      53.133415      97.574260       0.000000      67.713625       0.013504       0.013679       0.104608      -3.030634      43.014879      51.379320      92.939870      62.444690            nan  OK
     2.600000       3.022227       0.000000       0.000000      -3.022227      56.358236      57.120978     115.069263       0.000000      76.182826       0.015754       0.015898       0.135357      -3.072006      45.698250      55.136363     109.500871      70.111828            nan  OK
