# molecule         = LiH
# geometry         = Li 0 0 0; H 0 0 {R:.6f}
# basis            = sadlej
# basis_source     = sadlej.gbs
# lambda           = 0.000000
# omega            = 0.006400
# mode_dir         = [1.0, 0.0, 0.0]
# scheme           = general
# offdiag          = none
# method           = QED-FCI
# nboson_max       = 20
# n_fock_states    = 21
# ff_step_h        = 0.0005
# n_field_points   = 13
# fci_tol          = 1e-11
# fci_max_cycle    = 300
# scf_conv_tol     = 1e-12
# center_geometry  = True
# frozen_core_orbitals = 1
# coherent_state   = True
# z_selfconsistent_iter = 4
# R_range_Ang      = 0.8:0.1:6.0
# R_e_ref_Ang      = 1.5957
# pyscf            = 2.11.0
# python           = 3.13.12
# host             = fedora
# date             = 2026-08-16 15:52:56
# columns          = R,mu_abs,mu_x,mu_y,mu_z,a_xx,a_yy,a_zz,a_xz,a_iso,err_xx,err_yy,err_zz,dse_mu_z,dse_a_xx,dse_a_yy,dse_a_zz,dse_a_iso,boson_gap,status
#             R         mu_abs           mu_x           mu_y           mu_z           a_xx           a_yy           a_zz           a_xz          a_iso         err_xx         err_yy         err_zz       dse_mu_z       dse_a_xx       dse_a_yy       dse_a_zz      dse_a_iso      boson_gap         status
     0.800000       1.896573      -0.000000       0.000000      -1.896573      27.341288      27.341294      13.388247       0.000000      22.690276       0.003361       0.003356       0.002821      -1.896573      27.341221      27.341221      13.388169      22.690204            nan  OK
     0.900000       1.908895      -0.000000       0.000000      -1.908895      25.358725      25.358731      13.276521       0.000000      21.331326       0.002855       0.002851       0.002469      -1.908895      25.358726      25.358726      13.276516      21.331323            nan  OK
     1.000000       1.939250      -0.000000       0.000000      -1.939250      24.582986      24.582995      13.873945       0.000000      21.013309       0.002620       0.002613       0.002451      -1.939250      24.582966      24.582966      13.873915      21.013282            nan  OK
     1.100000       1.983606      -0.000000       0.000000      -1.983606      24.542609      24.542615      14.970846       0.000000      21.352023       0.002590       0.002585       0.002681      -1.983606      24.542597      24.542597      14.970827      21.352007            nan  OK
     1.200000       2.038857      -0.000000       0.000000      -2.038857      24.997989      24.997996      16.493720       0.000000      22.163235       0.002683       0.002678       0.003098      -2.038857      24.997978      24.997978      16.493701      22.163219            nan  OK
     1.300000       2.102735      -0.000000       0.000000      -2.102735      25.829035      25.829042      18.423084       0.000000      23.360387       0.002840       0.002834       0.003708      -2.102735      25.828964      25.828964      18.423005      23.360311            nan  OK
     1.400000       2.173438      -0.000000       0.000000      -2.173438      26.973053      26.973063      20.760382       0.000000      24.902166       0.003141       0.003133       0.004675      -2.173438      26.973017      26.973017      20.760334      24.902123            nan  OK
     1.500000       2.249332      -0.000000       0.000000      -2.249332      28.385370      28.385380      23.522418       0.000000      26.764389       0.003485       0.003477       0.006005      -2.249332      28.385301      28.385301      23.522336      26.764313            nan  OK
     1.600000       2.328899       0.000000       0.000000      -2.328899      30.025644      30.025642      26.748084       0.000000      28.933123       0.003960       0.003961       0.007912      -2.328899      30.025616      30.025616      26.748057      28.933096            nan  OK
     1.700000       2.410766      -0.000000      -0.000000      -2.410766      31.864260      31.864263      30.504883       0.000000      31.411136       0.004479       0.004476       0.010453      -2.410766      31.864182      31.864182      30.504807      31.411057            nan  OK
     1.800000       2.493647      -0.000000      -0.000000      -2.493647      33.886493      33.886494      34.889533       0.000000      34.220840       0.005171       0.005169       0.013984      -2.493647      33.886471      33.886471      34.889512      34.220818            nan  OK
     1.900000       2.576254      -0.000000       0.000000      -2.576254      36.091729      36.091731      40.029606       0.000000      37.404355       0.005952       0.005950       0.018732      -2.576254      36.091698      36.091698      40.029574      37.404323            nan  OK
     2.000000       2.657225       0.000000       0.000000      -2.657225      38.489193      38.489194      46.086041       0.000000      41.021476       0.006897       0.006896       0.025189      -2.657225      38.489185      38.489185      46.086033      41.021468            nan  OK
     2.100000       2.735076      -0.000000       0.000000      -2.735076      41.095511      41.095514      53.259428       0.000000      45.150151       0.007982       0.007980       0.033871      -2.735076      41.095469      41.095469      53.259381      45.150106            nan  OK
     2.200000       2.808168      -0.000000       0.000000      -2.808168      43.932590      43.932591      61.797348       0.000000      49.887510       0.009306       0.009305       0.045572      -2.808168      43.932583      43.932583      61.797334      49.887500            nan  OK
     2.300000       2.874662       0.000000       0.000000      -2.874662      47.027190      47.027191      72.003204       0.000000      55.352528       0.010839       0.010838       0.061083      -2.874662      47.027184      47.027184      72.003187      55.352518            nan  OK
     2.400000       2.932494       0.000000       0.000000      -2.932494      50.410144      50.410141      84.242844       0.000000      61.687710       0.012599       0.012601       0.081276      -2.932494      50.410085      50.410085      84.242772      61.687647            nan  OK
     2.500000       2.979345       0.000000       0.000000      -2.979345      54.115880      54.115873      98.946606       0.000000      69.059453       0.014686       0.014691       0.106904      -2.979345      54.115824      54.115824      98.946532      69.059393            nan  OK
     2.600000       3.012632      -0.000000      -0.000000      -3.012632      58.181930      58.181930     116.601449       0.000000      77.655103       0.017106       0.017106       0.137980      -3.012632      58.181908      58.181908     116.601428      77.655081            nan  OK
     2.700000       3.029512      -0.000000      -0.000000      -3.029512      62.647358      62.647359     137.724477       0.000000      87.673065       0.019837       0.019836       0.172923      -3.029512      62.647335      62.647335     137.724442      87.673037            nan  OK
     2.800000       3.026942      -0.000000       0.000000      -3.026942      67.549990      67.549993     162.806527       0.000000      99.302170       0.022881       0.022878       0.207423      -3.026942      67.549947      67.549947     162.806463      99.302119            nan  OK
     2.900000       3.001791      -0.000000      -0.000000      -3.001791      72.922200      72.922204     192.213353       0.000000     112.685919       0.026200       0.026197       0.232724      -3.001791      72.922136      72.922136     192.213275     112.685849            nan  OK
     3.000000       2.951062      -0.000000      -0.000000      -2.951062      78.784539      78.784557     226.033607       0.000000     127.867568       0.029720       0.029707       0.234419      -2.951062      78.784477      78.784477     226.033612     127.867522            nan  OK
     3.100000       2.872232      -0.000000      -0.000000      -2.872232      85.137267      85.137281     263.877366       0.000000     144.717305       0.033274       0.033263       0.193207      -2.872232      85.137221      85.137221     263.877297     144.717246            nan  OK
     3.200000       2.763724      -0.000000      -0.000000      -2.763724      91.950357      91.950375     304.659112       0.000000     162.853281       0.036604       0.036591       0.089863      -2.763724      91.950290      91.950290     304.659015     162.853199            nan  OK
     3.300000       2.625454       0.000000      -0.000000      -2.625454      99.153744      99.153739     346.443987       0.000000     181.583823       0.039476       0.039480       0.083947      -2.625454      99.153717      99.153717     346.443948     181.583794            nan  OK
     3.400000       2.459347      -0.000000      -0.000000      -2.459347     106.631804     106.631811     386.476756       0.000000     199.913457       0.041523       0.041517       0.312164      -2.459347     106.631779     106.631779     386.476723     199.913427            nan  OK
     3.500000       2.269623      -0.000000      -0.000000      -2.269623     114.224896     114.224904     421.499562       0.000000     216.649787       0.042473       0.042467       0.546127      -2.269623     114.224841     114.224841     421.499497     216.649726            nan  OK
     3.600000       2.062669      -0.000000      -0.000000      -2.062669     121.741799     121.741806     448.364677       0.000000     230.616094       0.042198       0.042193       0.713625      -2.062669     121.741756     121.741756     448.364620     230.616044            nan  OK
     3.700000       1.846407      -0.000000      -0.000000      -1.846407     128.982130     128.982138     464.773587       0.000000     240.912618       0.040682       0.040676       0.747259      -1.846407     128.982082     128.982082     464.773528     240.912564            nan  OK
     3.800000       1.629262      -0.000000      -0.000000      -1.629262     135.763212     135.763219     469.844700       0.000000     247.123710       0.038081       0.038076       0.617229      -1.629262     135.763155     135.763155     469.844634     247.123648            nan  OK
     3.900000       1.419024      -0.000000      -0.000000      -1.419024     141.943772     141.943777     464.256840       0.000000     249.381463       0.034677       0.034674       0.346397      -1.419024     141.943667     141.943667     464.256728     249.381354            nan  OK
     4.000000       1.221940      -0.000000      -0.000000      -1.221940     147.437514     147.437523     449.929699       0.000000     248.268246       0.030826       0.030819       0.002465      -1.221940     147.437334     147.437334     449.929509     248.268059            nan  OK
     4.100000       1.042242       0.000000       0.000000      -1.042242     152.214072     152.214075     429.429387       0.000000     244.619178       0.027020       0.027018       0.356157      -1.042242     152.214070     152.214070     429.429369     244.619170            nan  OK
     4.200000       0.882141       0.000000       0.000000      -0.882141     156.291183     156.291175     405.368592       0.000000     239.316983       0.023254       0.023260       0.656764      -0.882141     156.291183     156.291183     405.368584     239.316983            nan  OK
     4.300000       0.742145       0.000000       0.000000      -0.742145     159.719491     159.719490     379.985377       0.000000     233.141453       0.019787       0.019788       0.874043      -0.742145     159.719476     159.719476     379.985360     233.141438            nan  OK
     4.400000       0.621523       0.000000       0.000000      -0.621523     162.568959     162.568959     354.954029       0.000000     226.697316       0.016727       0.016727       1.002839      -0.621523     162.568962     162.568962     354.954026     226.697317            nan  OK
     4.500000       0.518768      -0.000000      -0.000000      -0.518768     164.916999     164.917005     331.376253       0.000000     220.403419       0.014076       0.014071       1.054222      -0.518768     164.916985     164.916985     331.376232     220.403401            nan  OK
     4.600000       0.431981      -0.000000       0.000000      -0.431981     166.840068     166.840076     309.872720       0.000000     214.517621       0.011836       0.011830       1.046414      -0.431981     166.840046     166.840046     309.872707     214.517600            nan  OK
     4.700000       0.359143      -0.000000      -0.000000      -0.359143     168.408803     168.408810     290.708150       0.000000     209.175254       0.009970       0.009965       0.998201      -0.359143     168.408782     168.408782     290.708138     209.175234            nan  OK
