# molecule         = LiH
# geometry         = Li 0 0 0; H 0 0 {R:.6f}
# basis            = sadlej
# basis_source     = sadlej.gbs
# lambda           = 0.025000
# omega            = 0.006400
# mode_dir         = [0.0, 0.0, 1.0]
# scheme           = axial
# offdiag          = none
# method           = QED-FCI
# nboson_max       = 20
# n_fock_states    = 21
# ff_step_h        = 0.0005
# n_field_points   = 9
# fci_tol          = 1e-11
# fci_max_cycle    = 300
# scf_conv_tol     = 1e-12
# center_geometry  = True
# frozen_core_orbitals = 1
# coherent_state   = True
# z_selfconsistent_iter = 4
# R_range_Ang      = 0.8:0.1:6.0
# R_e_ref_Ang      = 1.5957
# pyscf            = 2.11.0
# python           = 3.13.12
# host             = fedora
# date             = 2026-08-14 10:39:57
# columns          = R,mu_abs,mu_x,mu_y,mu_z,a_xx,a_yy,a_zz,a_xz,a_iso,err_xx,err_yy,err_zz,dse_mu_z,dse_a_xx,dse_a_yy,dse_a_zz,dse_a_iso,boson_gap,status
#             R         mu_abs           mu_x           mu_y           mu_z           a_xx           a_yy           a_zz           a_xz          a_iso         err_xx         err_yy         err_zz       dse_mu_z       dse_a_xx       dse_a_yy       dse_a_zz      dse_a_iso      boson_gap         status
     0.800000       1.895119       0.000000       0.000000      -1.895119      27.079128      27.079128      13.008170       0.000000      22.388809       0.003232       0.003232       0.002402      -1.895182      27.061584      27.061584      12.869317      22.330828       0.000000  OK
     0.900000       1.907867       0.000000       0.000000      -1.907867      25.128035      25.128035      12.929312       0.000000      21.061794       0.002711       0.002711       0.002072      -1.907938      25.113133      25.113133      12.796019      21.007428            nan  OK
     1.000000       1.938706      -0.000000       0.000000      -1.938706      24.361130      24.361130      13.522469       0.000000      20.748243       0.002510       0.002510       0.002082      -1.938802      24.346921      24.346921      13.379364      20.691069            nan  OK
     1.100000       1.983571      -0.000000       0.000000      -1.983571      24.316286      24.316286      14.593811       0.000000      21.075461       0.002478       0.002478       0.002278      -1.983703      24.301629      24.301629      14.429408      21.010889            nan  OK
     1.200000       2.039400      -0.000000       0.000000      -2.039400      24.757928      24.757928      16.072922       0.000000      21.862926       0.002568       0.002568       0.002639      -2.039580      24.742003      24.742003      15.875604      21.786537            nan  OK
     1.300000       2.103999       0.000000       0.000000      -2.103999      25.568188      25.568188      17.935389       0.000000      23.023922       0.002747       0.002747       0.003197      -2.104240      25.550275      25.550275      17.691534      22.930695            nan  OK
     1.400000       2.175608       0.000000       0.000000      -2.175608      26.685551      26.685551      20.174552       0.000000      24.515218       0.003014       0.003014       0.003999      -2.175929      26.664948      26.664948      19.867391      24.399096            nan  OK
     1.500000       2.252608       0.000000       0.000000      -2.252608      28.065058      28.065058      22.800601       0.000000      26.310239       0.003360       0.003360       0.005133      -2.253032      28.040970      28.040970      22.409168      26.163702            nan  OK
     1.600000       2.333505       0.000000       0.000000      -2.333505      29.665658      29.665658      25.847554       0.000000      28.392957       0.003787       0.003787       0.006686      -2.334063      29.637130      29.637130      25.345033      28.206431            nan  OK
     1.700000       2.416977      -0.000000       0.000000      -2.416977      31.456392      31.456392      29.375910       0.000000      30.762898       0.004300       0.004300       0.008810      -2.417707      31.422239      31.422239      28.727268      30.523915            nan  OK
