# molecule         = H2
# geometry         = H 0 0 0; H 0 0 {R:.6f}
# basis            = sadlej
# basis_source     = sadlej.gbs
# lambda           = 0.010000
# omega            = 0.468700
# mode_dir         = [0.0, 0.0, 1.0]
# scheme           = axial
# offdiag          = none
# method           = QED-FCI
# nboson_max       = 8
# n_fock_states    = 9
# ff_step_h        = 0.001
# n_field_points   = 9
# fci_tol          = 1e-11
# fci_max_cycle    = 300
# scf_conv_tol     = 1e-12
# center_geometry  = True
# frozen_core_orbitals = 0
# coherent_state   = True
# z_selfconsistent_iter = 0
# R_range_Ang      = 0.4:0.1:5.0
# R_e_ref_Ang      = 0.7414
# pyscf            = 2.11.0
# python           = 3.13.12
# host             = fedora
# date             = 2026-08-17 21:41:31
# columns          = R,mu_abs,mu_x,mu_y,mu_z,a_xx,a_yy,a_zz,a_xz,a_iso,err_xx,err_yy,err_zz,dse_mu_z,dse_a_xx,dse_a_yy,dse_a_zz,dse_a_iso,boson_gap,status
#             R         mu_abs           mu_x           mu_y           mu_z           a_xx           a_yy           a_zz           a_xz          a_iso         err_xx         err_yy         err_zz       dse_mu_z       dse_a_xx       dse_a_yy       dse_a_zz      dse_a_iso      boson_gap         status
     0.400000  FAILED  # быстрая свёртка расходится с эталонной
     0.500000       0.000000      -0.000000       0.000000      -0.000000       2.906132       2.906132       3.992765       0.000000       3.268343       0.000083       0.000083       0.000154      -0.000000       2.905731       2.905731       3.989432       3.266964            nan  OK
     0.600000       0.000000      -0.000000       0.000000      -0.000000       3.475462       3.475462       4.943047       0.000000       3.964657       0.000045       0.000045       0.000137      -0.000000       3.474805       3.474805       4.938320       3.962643            nan  OK
     0.700000       0.000000      -0.000000       0.000000      -0.000000       4.085476       4.085476       6.060638       0.000000       4.743863       0.000060       0.000060       0.000179       0.000000       4.084620       4.084620       6.054121       4.741121            nan  OK
     0.800000       0.000000      -0.000000       0.000000      -0.000000       4.717398       4.717398       7.334944       0.000000       5.589913       0.000078       0.000078       0.000234       0.000000       4.716324       4.716324       7.326051       5.586233            nan  OK
     0.900000       0.000000      -0.000000       0.000000      -0.000000       5.353038       5.353038       8.746269       0.000000       6.484115       0.000095       0.000095       0.000301       0.000000       5.351726       5.351726       8.734305       6.479253            nan  OK
     1.000000       0.000000      -0.000000       0.000000       0.000000       5.975224       5.975224      10.262379       0.000000       7.404276       0.000113       0.000113       0.000383      -0.000000       5.973658       5.973658      10.246549       7.397955            nan  OK
     1.100000       0.000000      -0.000000       0.000000       0.000000       6.567934       6.567934      11.835304       0.000000       8.323724       0.000131       0.000131       0.000489       0.000000       6.566101       6.566101      11.814753       8.315651            nan  OK
     1.200000       0.000000      -0.000000       0.000000       0.000000       7.116629       7.116629      13.400006       0.000000       9.211088       0.000148       0.000148       0.000628       0.000000       7.114517       7.114517      13.373878       9.200970            nan  OK
     1.300000       0.000000      -0.000000       0.000000      -0.000000       7.608686       7.608686      14.876228       0.000000      10.031200       0.000165       0.000165       0.000815      -0.000000       7.606285       7.606285      14.843761      10.018777            nan  OK
     1.400000       0.000000      -0.000000       0.000000      -0.000000       8.034017       8.034017      16.174838       0.000000      10.747624       0.000181       0.000181       0.001065      -0.000000       8.031322       8.031322      16.135490      10.732712            nan  OK
     1.500000       0.000000      -0.000000       0.000000       0.000000       8.385919       8.385919      17.209044       0.000000      11.326961       0.000196       0.000196       0.001391      -0.000000       8.382930       8.382930      17.162640      11.309500            nan  OK
     1.600000       0.000000      -0.000000       0.000000       0.000000       8.661928       8.661928      17.908983       0.000000      11.744280       0.000210       0.000210       0.001791       0.000000       8.658660       8.658660      17.855843      11.724388            nan  OK
     1.700000       0.000000      -0.000000       0.000000      -0.000000       8.864304       8.864304      18.236097       0.000000      11.988235       0.000223       0.000223       0.002240       0.000000       8.860787       8.860787      18.177106      11.966227            nan  OK
     1.800000       0.000000      -0.000000       0.000000      -0.000000       8.999818       8.999818      18.192423       0.000000      12.064020       0.000234       0.000234       0.002699       0.000000       8.996102       8.996102      18.129007      12.040404            nan  OK
     1.900000       0.000000      -0.000000       0.000000      -0.000000       9.078770       9.078770      17.820791       0.000000      11.992777       0.000242       0.000242       0.003109      -0.000000       9.074922       9.074922      17.754762      11.968202            nan  OK
     2.000000       0.000000      -0.000000       0.000000      -0.000000       9.113432       9.113432      17.195077       0.000000      11.807314       0.000247       0.000247       0.003420      -0.000000       9.109527       9.109527      17.128394      11.782482            nan  OK
     2.100000       0.000000      -0.000000       0.000000      -0.000000       9.116314       9.116314      16.403904       0.000000      11.545511       0.000251       0.000251       0.003599      -0.000000       9.112431       9.112431      16.338410      11.521091            nan  OK
     2.200000       0.000000       0.000000       0.000000      -0.000000       9.098723       9.098723      15.533695       0.000000      11.243714       0.000254       0.000254       0.003640      -0.000000       9.094932       9.094932      15.470908      11.220257            nan  OK
     2.300000       0.000000      -0.000000       0.000000      -0.000000       9.069870       9.069870      14.656256       0.000000      10.931998       0.000251       0.000251       0.003553       0.000000       9.066218       9.066218      14.597252      10.909896            nan  OK
     2.400000       0.000000      -0.000000       0.000000      -0.000000       9.036545       9.036545      13.823046       0.000000      10.632046       0.000253       0.000253       0.003374       0.000000       9.033078       9.033078      13.768463      10.611539            nan  OK
     2.500000       0.000000       0.000000       0.000000      -0.000000       9.003356       9.003356      13.065368       0.000000      10.357360       0.000242       0.000242       0.003127       0.000000       9.000070       9.000070      13.015441      10.338527            nan  OK
     2.600000       0.000000      -0.000000       0.000000      -0.000000       8.972999       8.972999      12.397913       0.000000      10.114637       0.000250       0.000250       0.002854      -0.000000       8.969933       8.969933      12.352609      10.097492            nan  OK
     2.700000       0.000000      -0.000000       0.000000      -0.000000       8.946929       8.946929      11.823611       0.000000       9.905823       0.000246       0.000246       0.002568      -0.000000       8.944057       8.944057      11.782678       9.890264            nan  OK
     2.800000       0.000000      -0.000000       0.000000      -0.000000       8.925606       8.925606      11.337963       0.000000       9.729725       0.000244       0.000244       0.002289       0.000000       8.922918       8.922918      11.301044       9.715627            nan  OK
     2.900000       0.000000      -0.000000       0.000000      -0.000000       8.908944       8.908944      10.932503       0.000000       9.583464       0.000242       0.000242       0.002027      -0.000000       8.906424       8.906424      10.899186       9.570678            nan  OK
     3.000000       0.000000      -0.000000       0.000000      -0.000000       8.896528       8.896528      10.597132       0.000000       9.463396       0.000241       0.000241       0.001790      -0.000000       8.894157       8.894157      10.566997       9.451770            nan  OK
     3.100000       0.000000      -0.000000       0.000000      -0.000000       8.887788       8.887788      10.321585       0.000000       9.365720       0.000239       0.000239       0.001576      -0.000000       8.885546       8.885546      10.294225       9.355106            nan  OK
     3.200000       0.000000      -0.000000       0.000000      -0.000000       8.882110       8.882110      10.096242       0.000000       9.286821       0.000237       0.000237       0.001388       0.000000       8.879979       8.879979      10.071280       9.277080            nan  OK
     3.300000       0.000000      -0.000000       0.000000      -0.000000       8.878901       8.878901       9.912513       0.000000       9.223439       0.000235       0.000235       0.001224      -0.000000       8.876864       8.876864       9.889614       9.214447            nan  OK
     3.400000       0.000000      -0.000000       0.000000      -0.000000       8.877627       8.877627       9.762973       0.000000       9.172742       0.000234       0.000234       0.001082      -0.000000       8.875668       8.875668       9.741837       9.164391            nan  OK
     3.500000       0.000000      -0.000000       0.000000      -0.000000       8.877828       8.877828       9.641332       0.000000       9.132330       0.000232       0.000232       0.000960      -0.000000       8.875934       8.875934       9.621700       9.124522            nan  OK
     3.600000       0.000000      -0.000000       0.000000      -0.000000       8.879125       8.879125       9.542344       0.000000       9.100198       0.000231       0.000231       0.000855      -0.000000       8.877283       8.877283       9.523990       9.092852            nan  OK
     3.700000       0.000000      -0.000000       0.000000      -0.000000       8.881212       8.881212       9.461675       0.000000       9.074700       0.000230       0.000230       0.000765       0.000000       8.879412       8.879412       9.444408       9.067744            nan  OK
     3.800000       0.000000      -0.000000       0.000000      -0.000000       8.883852       8.883852       9.395776       0.000000       9.054493       0.000229       0.000229       0.000689       0.000000       8.882086       8.882086       9.379429       9.047867            nan  OK
     3.900000       0.000000      -0.000000       0.000000      -0.000000       8.886862       8.886862       9.341751       0.000000       9.038492       0.000228       0.000228       0.000624       0.000000       8.885122       8.885122       9.326185       9.032143            nan  OK
     4.000000       0.000000      -0.000000       0.000000      -0.000000       8.890107       8.890107       9.297253       0.000000       9.025823       0.000226       0.000226       0.000568      -0.000000       8.888386       8.888386       9.282348       9.019707            nan  OK
     4.100000       0.000000      -0.000000       0.000000      -0.000000       8.893486       8.893486       9.260382       0.000000       9.015785       0.000226       0.000226       0.000521       0.000000       8.891780       8.891780       9.246039       9.009866            nan  OK
     4.200000       0.000000      -0.000000       0.000000      -0.000000       8.896925       8.896925       9.229612       0.000000       9.007821       0.000225       0.000225       0.000481      -0.000000       8.895230       8.895230       9.215745       9.002068            nan  OK
     4.300000       0.000000      -0.000000       0.000000      -0.000000       8.900373       8.900373       9.203718       0.000000       9.001488       0.000224       0.000224       0.000447       0.000000       8.898685       8.898685       9.190256       8.995876            nan  OK
     4.400000       0.000000      -0.000000       0.000000      -0.000000       8.903790       8.903790       9.181727       0.000000       8.996435       0.000224       0.000224       0.000419       0.000000       8.902108       8.902108       9.168609       8.990942            nan  OK
     4.500000       0.000000      -0.000000       0.000000      -0.000000       8.907148       8.907148       9.162866       0.000000       8.992388       0.000223       0.000223       0.000394      -0.000000       8.905469       8.905469       9.150044       8.986994            nan  OK
     4.600000       0.000000      -0.000000       0.000000      -0.000000       8.910427       8.910427       9.146530       0.000000       8.989128       0.000222       0.000222       0.000373       0.000000       8.908749       8.908749       9.133960       8.983820            nan  OK
     4.700000       0.000000      -0.000000       0.000000      -0.000000       8.913610       8.913610       9.132245       0.000000       8.986489       0.000222       0.000222       0.000355       0.000000       8.911933       8.911933       9.119892       8.981253            nan  OK
     4.800000       0.000000      -0.000000       0.000000      -0.000000       8.916686       8.916686       9.119642       0.000000       8.984338       0.000221       0.000221       0.000339       0.000000       8.915009       8.915009       9.107476       8.979164            nan  OK
     4.900000       0.000000      -0.000000       0.000000      -0.000000       8.919645       8.919645       9.108436       0.000000       8.982576       0.000221       0.000221       0.000326      -0.000000       8.917967       8.917967       9.096432       8.977455            nan  OK
     5.000000       0.000000      -0.000000       0.000000       0.000000       8.922480       8.922480       9.098405       0.000000       8.981122       0.000220       0.000220       0.000315       0.000000       8.920801       8.920801       9.086544       8.976048       0.000000  OK
