# molecule         = H2
# geometry         = H 0 0 0; H 0 0 {R:.6f}
# basis            = sadlej
# basis_source     = sadlej.gbs
# lambda           = 0.010000
# omega            = 0.468700
# mode_dir         = [1.0, 0.0, 0.0]
# scheme           = general
# offdiag          = none
# method           = QED-FCI
# nboson_max       = 8
# n_fock_states    = 9
# ff_step_h        = 0.001
# n_field_points   = 13
# fci_tol          = 1e-11
# fci_max_cycle    = 300
# scf_conv_tol     = 1e-12
# center_geometry  = True
# frozen_core_orbitals = 0
# coherent_state   = True
# z_selfconsistent_iter = 0
# R_range_Ang      = 0.4:0.1:5.0
# R_e_ref_Ang      = 0.7414
# pyscf            = 2.11.0
# python           = 3.13.12
# host             = fedora
# date             = 2026-08-17 21:46:31
# columns          = R,mu_abs,mu_x,mu_y,mu_z,a_xx,a_yy,a_zz,a_xz,a_iso,err_xx,err_yy,err_zz,dse_mu_z,dse_a_xx,dse_a_yy,dse_a_zz,dse_a_iso,boson_gap,status
#             R         mu_abs           mu_x           mu_y           mu_z           a_xx           a_yy           a_zz           a_xz          a_iso         err_xx         err_yy         err_zz       dse_mu_z       dse_a_xx       dse_a_yy       dse_a_zz      dse_a_iso      boson_gap         status
     0.400000  FAILED  # быстрая свёртка расходится с эталонной
     0.500000       0.000000      -0.000000       0.000000       0.000000       2.906383       2.906211       3.993374       0.000000       3.268656       0.000010       0.000010       0.000082      -0.000000       2.904965       2.905902       3.992812       3.267893            nan  OK
     0.600000       0.000000      -0.000000       0.000000       0.000000       3.475614       3.475365       4.943532       0.000000       3.964837       0.000045       0.000045       0.000137       0.000000       3.473671       3.474980       4.942810       3.963820            nan  OK
     0.700000       0.000000      -0.000000      -0.000000      -0.000000       4.085652       4.085308       6.061121       0.000000       4.744027       0.000060       0.000060       0.000179      -0.000000       4.083034       4.084794       6.060163       4.742663            nan  OK
     0.800000       0.000000      -0.000000      -0.000000       0.000000       4.717602       4.717147       7.335424       0.000000       5.590058       0.000078       0.000077       0.000234       0.000000       4.714213       4.716496       7.334196       5.588301            nan  OK
     0.900000       0.000000      -0.000000      -0.000000      -0.000000       5.353278       5.352700       8.746756       0.000000       6.484245       0.000095       0.000095       0.000300      -0.000000       5.349035       5.351902       8.745221       6.482053            nan  OK
     1.000000       0.000000      -0.000000      -0.000000      -0.000000       5.975507       5.974798      10.262887       0.000000       7.404397       0.000113       0.000113       0.000383       0.000000       5.970354       5.973853      10.261014       7.401740            nan  OK
     1.100000       0.000000      -0.000000      -0.000000       0.000000       6.568269       6.567427      11.835867       0.000000       8.323854       0.000131       0.000131       0.000489      -0.000000       6.562178       6.566334      11.833629       8.320714            nan  OK
     1.200000       0.000000      -0.000000      -0.000000       0.000000       7.117024       7.116054      13.400675       0.000000       9.211251       0.000149       0.000148       0.000628      -0.000000       7.109999       7.114816      13.398047       9.207621            nan  OK
     1.300000       0.000000      -0.000000      -0.000000       0.000000       7.609149       7.608060      14.877070       0.000000      10.031426       0.000166       0.000165       0.000815      -0.000000       7.601226       7.606685      14.874034      10.027315            nan  OK
     1.400000       0.000000      -0.000000      -0.000000      -0.000000       8.034554       8.033359      16.175935       0.000000      10.747949       0.000182       0.000181       0.001065      -0.000000       8.025800       8.031856      16.172478      10.743378            nan  OK
