# molecule         = H2
# geometry         = H 0 0 0; H 0 0 {R:.6f}
# basis            = sadlej
# basis_source     = sadlej.gbs
# lambda           = 0.000000
# omega            = 0.020100
# mode_dir         = [0.0, 0.0, 1.0]
# scheme           = axial
# offdiag          = none
# method           = QED-FCI
# nboson_max       = 8
# n_fock_states    = 9
# ff_step_h        = 0.001
# n_field_points   = 9
# fci_tol          = 1e-11
# fci_max_cycle    = 300
# scf_conv_tol     = 1e-12
# center_geometry  = True
# frozen_core_orbitals = 0
# coherent_state   = True
# z_selfconsistent_iter = 0
# R_range_Ang      = 0.4:0.1:5.0
# R_e_ref_Ang      = 0.7414
# pyscf            = 2.11.0
# python           = 3.13.12
# host             = fedora
# date             = 2026-08-17 22:00:50
# columns          = R,mu_abs,mu_x,mu_y,mu_z,a_xx,a_yy,a_zz,a_xz,a_iso,err_xx,err_yy,err_zz,dse_mu_z,dse_a_xx,dse_a_yy,dse_a_zz,dse_a_iso,boson_gap,status
#             R         mu_abs           mu_x           mu_y           mu_z           a_xx           a_yy           a_zz           a_xz          a_iso         err_xx         err_yy         err_zz       dse_mu_z       dse_a_xx       dse_a_yy       dse_a_zz      dse_a_iso      boson_gap         status
     0.400000  FAILED  # быстрая свёртка расходится с эталонной
     0.500000       0.000000       0.000000       0.000000      -0.000000       2.906333       2.906333       3.993431       0.000000       3.268699       0.000086       0.000086       0.000158       0.000000       2.906423       2.906423       3.993521       3.268789            nan  OK
     0.600000       0.000000      -0.000000       0.000000      -0.000000       3.475709       3.475709       4.943781       0.000000       3.965066       0.000047       0.000047       0.000138       0.000000       3.475711       3.475711       4.943783       3.965068            nan  OK
     0.700000       0.000000      -0.000000       0.000000      -0.000000       4.085762       4.085762       6.061448       0.000000       4.744324       0.000061       0.000061       0.000181      -0.000000       4.085763       4.085763       6.061449       4.744325            nan  OK
     0.800000       0.000000      -0.000000       0.000000      -0.000000       4.717724       4.717724       7.335842       0.000000       5.590430       0.000077       0.000077       0.000234      -0.000000       4.717724       4.717724       7.335842       5.590430            nan  OK
     0.900000       0.000000      -0.000000       0.000000      -0.000000       5.353410       5.353410       8.747281       0.000000       6.484700       0.000090       0.000090       0.000297       0.000000       5.353401       5.353401       8.747274       6.484692            nan  OK
     1.000000       0.000000      -0.000000       0.000000       0.000000       5.975629       5.975629      10.263523       0.000000       7.404927       0.000111       0.000111       0.000381       0.000000       5.975626       5.975626      10.263520       7.404924            nan  OK
     1.100000       0.000000      -0.000000       0.000000       0.000000       6.568386       6.568386      11.836635       0.000000       8.324469       0.000126       0.000126       0.000485       0.000000       6.568379       6.568379      11.836628       8.324462            nan  OK
     1.200000       0.000000      -0.000000       0.000000       0.000000       7.117126       7.117126      13.401581       0.000000       9.211944       0.000146       0.000146       0.000627       0.000000       7.117123       7.117123      13.401578       9.211941            nan  OK
     1.300000       0.000000      -0.000000       0.000000       0.000000       7.609245       7.609245      14.878138       0.000000      10.032210       0.000160       0.000160       0.000811      -0.000000       7.609237       7.609237      14.878130      10.032201            nan  OK
     1.400000       0.000000      -0.000000       0.000000      -0.000000       8.034639       8.034639      16.177169       0.000000      10.748816       0.000178       0.000178       0.001062       0.000000       8.034633       8.034633      16.177164      10.748810            nan  OK
     1.500000       0.000000      -0.000000       0.000000       0.000000       8.386608       8.386608      17.211883       0.000000      11.328366       0.000195       0.000195       0.001390       0.000000       8.386605       8.386605      17.211881      11.328364            nan  OK
     1.600000       0.000000      -0.000000       0.000000       0.000000       8.662698       8.662698      17.912401       0.000000      11.745932       0.000206       0.000206       0.001786      -0.000000       8.662689       8.662689      17.912394      11.745924            nan  OK
     1.700000       0.000000      -0.000000       0.000000      -0.000000       8.865153       8.865153      18.240102       0.000000      11.990136       0.000216       0.000216       0.002234      -0.000000       8.865141       8.865141      18.240091      11.990124            nan  OK
     1.800000       0.000000      -0.000000       0.000000      -0.000000       9.000740       9.000740      18.196959       0.000000      12.066146       0.000226       0.000226       0.002692      -0.000000       9.000726       9.000726      18.196947      12.066133            nan  OK
     1.900000       0.000000      -0.000000       0.000000      -0.000000       9.079746       9.079746      17.825733       0.000000      11.995075       0.000239       0.000239       0.003107      -0.000000       9.079740       9.079740      17.825728      11.995069            nan  OK
     2.000000       0.000000      -0.000000       0.000000      -0.000000       9.114471       9.114471      17.200280       0.000000      11.809740       0.000237       0.000237       0.003411      -0.000000       9.114451       9.114451      17.200262      11.809721            nan  OK
     2.100000       0.000000      -0.000000       0.000000      -0.000000       9.117383       9.117383      16.409164       0.000000      11.547976       0.000246       0.000246       0.003596      -0.000000       9.117373       9.117373      16.409156      11.547967            nan  OK
     2.200000       0.000000       0.000000       0.000000      -0.000000       9.099814       9.099814      15.538847       0.000000      11.246158       0.000252       0.000252       0.003640      -0.000000       9.099811       9.099811      15.538844      11.246155            nan  OK
     2.300000       0.000000      -0.000000       0.000000      -0.000000       9.070991       9.070991      14.661174       0.000000      10.934385       0.000242       0.000242       0.003547      -0.000000       9.070971       9.070971      14.661157      10.934366            nan  OK
     2.400000       0.000000      -0.000000       0.000000      -0.000000       9.037674       9.037674      13.827617       0.000000      10.634322       0.000246       0.000246       0.003372      -0.000000       9.037662       9.037662      13.827609      10.634311            nan  OK
     2.500000       0.000000      -0.000000       0.000000      -0.000000       9.004482       9.004482      13.069537       0.000000      10.359500       0.000240       0.000240       0.003127       0.000000       9.004462       9.004462      13.069525      10.359483            nan  OK
     2.600000       0.000000      -0.000000       0.000000      -0.000000       8.974146       8.974146      12.401674       0.000000      10.116655       0.000237       0.000237       0.002847      -0.000000       8.974125       8.974125      12.401656      10.116636            nan  OK
     2.700000       0.000000      -0.000000       0.000000      -0.000000       8.948064       8.948064      11.826947       0.000000       9.907692       0.000240       0.000240       0.002565      -0.000000       8.948053       8.948053      11.826937       9.907681            nan  OK
     2.800000       0.000000      -0.000000       0.000000      -0.000000       8.926749       8.926749      11.340909       0.000000       9.731469       0.000234       0.000234       0.002283      -0.000000       8.926732       8.926732      11.340895       9.731453            nan  OK
     2.900000       0.000000      -0.000000       0.000000      -0.000000       8.910083       8.910083      10.935080       0.000000       9.585082       0.000236       0.000236       0.002024      -0.000000       8.910071       8.910071      10.935070       9.585071            nan  OK
     3.000000       0.000000      -0.000000       0.000000      -0.000000       8.897669       8.897669      10.599380       0.000000       9.464906       0.000233       0.000233       0.001785      -0.000000       8.897657       8.897657      10.599370       9.464894            nan  OK
     3.100000       0.000000      -0.000000       0.000000      -0.000000       8.888927       8.888927      10.323535       0.000000       9.367130       0.000234       0.000234       0.001574      -0.000000       8.888919       8.888919      10.323529       9.367122            nan  OK
     3.200000       0.000000      -0.000000       0.000000      -0.000000       8.883252       8.883252      10.097931       0.000000       9.288145       0.000232       0.000232       0.001386      -0.000000       8.883245       8.883245      10.097924       9.288138            nan  OK
     3.300000       0.000000      -0.000000       0.000000      -0.000000       8.880046       8.880046       9.913973       0.000000       9.224688       0.000231       0.000231       0.001222      -0.000000       8.880039       8.880039       9.913967       9.224682            nan  OK
     3.400000       0.000000      -0.000000       0.000000      -0.000000       8.878781       8.878781       9.764237       0.000000       9.173933       0.000226       0.000226       0.001077      -0.000000       8.878770       8.878770       9.764227       9.173922            nan  OK
     3.500000       0.000000       0.000000       0.000000      -0.000000       8.878983       8.878983       9.642416       0.000000       9.133461       0.000228       0.000228       0.000958      -0.000000       8.878976       8.878976       9.642411       9.133454            nan  OK
     3.600000       0.000000      -0.000000       0.000000      -0.000000       8.880290       8.880290       9.543280       0.000000       9.101287       0.000223       0.000223       0.000850      -0.000000       8.880278       8.880278       9.543270       9.101275            nan  OK
     3.700000       0.000000      -0.000000       0.000000      -0.000000       8.882382       8.882382       9.462477       0.000000       9.075747       0.000223       0.000223       0.000761       0.000000       8.882371       8.882371       9.462468       9.075736            nan  OK
     3.800000       0.000000      -0.000000       0.000000      -0.000000       8.885029       8.885029       9.396463       0.000000       9.055507       0.000221       0.000221       0.000684       0.000000       8.885016       8.885016       9.396453       9.055495            nan  OK
     3.900000       0.000000      -0.000000       0.000000      -0.000000       8.888045       8.888045       9.342337       0.000000       9.039475       0.000220       0.000220       0.000619       0.000000       8.888032       8.888032       9.342327       9.039464            nan  OK
     4.000000       0.000000      -0.000000       0.000000      -0.000000       8.891294       8.891294       9.297748       0.000000       9.026779       0.000220       0.000220       0.000564       0.000000       8.891283       8.891283       9.297739       9.026768            nan  OK
     4.100000       0.000000       0.000000       0.000000      -0.000000       8.894678       8.894678       9.260800       0.000000       9.016719       0.000219       0.000219       0.000517       0.000000       8.894667       8.894667       9.260792       9.016709            nan  OK
     4.200000       0.000000       0.000000       0.000000      -0.000000       8.898123       8.898123       9.229962       0.000000       9.008736       0.000219       0.000219       0.000477      -0.000000       8.898112       8.898112       9.229954       9.008726            nan  OK
     4.300000       0.000000       0.000000       0.000000      -0.000000       8.901577       8.901577       9.204011       0.000000       9.002388       0.000218       0.000218       0.000443      -0.000000       8.901565       8.901565       9.204002       9.002377            nan  OK
     4.400000       0.000000       0.000000       0.000000      -0.000000       8.904999       8.904999       9.181968       0.000000       8.997322       0.000217       0.000217       0.000414       0.000000       8.904988       8.904988       9.181959       8.997312            nan  OK
     4.500000       0.000000       0.000000       0.000000      -0.000000       8.908362       8.908362       9.163063       0.000000       8.993262       0.000217       0.000217       0.000390       0.000000       8.908351       8.908351       9.163054       8.993252            nan  OK
     4.600000       0.000000      -0.000000       0.000000      -0.000000       8.911645       8.911645       9.146688       0.000000       8.989993       0.000216       0.000216       0.000368       0.000000       8.911635       8.911635       9.146679       8.989983            nan  OK
     4.700000       0.000000      -0.000000       0.000000      -0.000000       8.914832       8.914832       9.132367       0.000000       8.987344       0.000217       0.000217       0.000351      -0.000000       8.914823       8.914823       9.132360       8.987335            nan  OK
     4.800000       0.000000      -0.000000       0.000000      -0.000000       8.917914       8.917914       9.119736       0.000000       8.985188       0.000215       0.000215       0.000335       0.000000       8.917903       8.917903       9.119727       8.985178            nan  OK
     4.900000       0.000000      -0.000000       0.000000      -0.000000       8.920879       8.920879       9.108505       0.000000       8.983421       0.000213       0.000213       0.000320      -0.000000       8.920866       8.920866       9.108495       8.983409            nan  OK
     5.000000       0.000000      -0.000000       0.000000      -0.000000       8.923719       8.923719       9.098453       0.000000       8.981964       0.000212       0.000212       0.000308      -0.000000       8.923705       8.923705       9.098442       8.981951            nan  OK
