# molecule         = H2
# geometry         = H 0 0 0; H 0 0 {R:.6f}
# basis            = sadlej
# basis_source     = sadlej.gbs
# lambda           = 0.100000
# omega            = 0.020100
# mode_dir         = [1.0, 0.0, 0.0]
# scheme           = general
# offdiag          = none
# method           = QED-FCI
# nboson_max       = 8
# n_fock_states    = 9
# ff_step_h        = 0.001
# n_field_points   = 13
# fci_tol          = 1e-11
# fci_max_cycle    = 300
# scf_conv_tol     = 1e-12
# center_geometry  = True
# frozen_core_orbitals = 0
# coherent_state   = True
# z_selfconsistent_iter = 0
# R_range_Ang      = 0.4:0.1:5.0
# R_e_ref_Ang      = 0.7414
# pyscf            = 2.11.0
# python           = 3.13.12
# host             = fedora
# date             = 2026-08-17 22:13:58
# columns          = R,mu_abs,mu_x,mu_y,mu_z,a_xx,a_yy,a_zz,a_xz,a_iso,err_xx,err_yy,err_zz,dse_mu_z,dse_a_xx,dse_a_yy,dse_a_zz,dse_a_iso,boson_gap,status
#             R         mu_abs           mu_x           mu_y           mu_z           a_xx           a_yy           a_zz           a_xz          a_iso         err_xx         err_yy         err_zz       dse_mu_z       dse_a_xx       dse_a_yy       dse_a_zz      dse_a_iso      boson_gap         status
     0.400000  FAILED  # быстрая свёртка расходится с эталонной
     0.500000       0.000000      -0.000000       0.000000      -0.000000       2.853487       2.858664       3.931472       0.000000       3.214541       0.000006       0.000006       0.000073       0.000000       2.769180       2.856774       3.926986       3.184313            nan  OK
     0.600000       0.000000      -0.000000       0.000000      -0.000000       3.404151       3.408952       4.859212       0.000000       3.890771       0.000035       0.000034       0.000119      -0.000000       3.284892       3.406317       4.852986       3.848065            nan  OK
     0.700000       0.000000      -0.000000      -0.000000      -0.000000       3.994826       3.997432       5.950679       0.000000       4.647646       0.000052       0.000051       0.000160      -0.000000       3.831829       3.993914       5.942302       4.589348            nan  OK
     0.800000       0.000000      -0.000000      -0.000000       0.000000       4.607678       4.606020       7.195118       0.000000       5.469605       0.000076       0.000072       0.000214       0.000000       4.392658       4.601543       7.184218       5.392806            nan  OK
     0.900000       0.000000      -0.000000      -0.000000      -0.000000       5.225272       5.217343       8.572940       0.000000       6.338518       0.000084       0.000078       0.000263      -0.000000       4.951101       5.211835       8.559143       6.240693            nan  OK
     1.000000       0.000000      -0.000000      -0.000000      -0.000000       5.830738       5.814900      10.052005       0.000000       7.232548       0.000114       0.000106       0.000347      -0.000000       5.492201       5.808379      10.035039       7.111873            nan  OK
     1.100000       0.000000      -0.000000      -0.000000      -0.000000       6.408174       6.383392      11.584573       0.000000       8.125380       0.000127       0.000117       0.000438      -0.000000       6.002402       6.375839      11.564162       7.980801            nan  OK
     1.200000       0.000000       0.000000      -0.000000       0.000000       6.942850       6.908859      13.105788       0.000000       8.985833       0.000139       0.000126       0.000556      -0.000000       6.469798       6.900297      13.081722       8.817273            nan  OK
     1.300000       0.000000       0.000000      -0.000000      -0.000000       7.421840       7.379196      14.535723       0.000000       9.778919       0.000165       0.000150       0.000734      -0.000000       6.884446       7.369693      14.507889       9.587343            nan  OK
     1.400000       0.000000       0.000000      -0.000000      -0.000000       7.834828       7.784844      15.786044       0.000000      10.468572       0.000184       0.000167       0.000968      -0.000000       7.238817       7.774445      15.754376      10.255879            nan  OK
     1.500000       0.000000       0.000000      -0.000000       0.000000       8.174967       8.119526      16.771390       0.000000      11.021961       0.000200       0.000179       0.001268      -0.000000       7.528436       8.108292      16.735953      10.790894            nan  OK
     1.600000       0.000000       0.000000      -0.000000      -0.000000       8.439858       8.381117      17.424187       0.000000      11.415054       0.000214       0.000192       0.001636      -0.000000       7.752497       8.369136      17.385242      11.168958            nan  OK
     1.700000       0.000000       0.000000      -0.000000       0.000000       8.632043       8.572094      17.708945       0.000000      11.637694       0.000235       0.000211       0.002058      -0.000000       7.914150       8.559481      17.667011      11.380214            nan  OK
     1.800000       0.000000       0.000000      -0.000000       0.000000       8.758770       8.699338      17.631151       0.000000      11.696420       0.000240       0.000216       0.002471      -0.000000       8.020188       8.686188      17.586973      11.431116            nan  OK
     1.900000       0.000000       0.000000      -0.000000       0.000000       8.830752       8.773004      17.236555       0.000000      11.613437       0.000248       0.000224       0.002840      -0.000000       8.080094       8.759457      17.191125      11.343558            nan  OK
     2.000000       0.000000       0.000000      -0.000000       0.000000       8.860553       8.805057      16.600719       0.000000      11.422110       0.000261       0.000237       0.003121      -0.000000       8.104659       8.791254      16.555137      11.150350            nan  OK
     2.100000       0.000000       0.000000      -0.000000       0.000000       8.860779       8.807589      15.812294       0.000000      11.160221       0.000256       0.000233       0.003260       0.000000       8.104525       8.793626      15.767588      10.888579            nan  OK
     2.200000       0.000000       0.000000      -0.000000       0.000000       8.842495       8.791311      14.956048       0.000000      10.863285       0.000264       0.000242       0.003286      -0.000000       8.089027       8.777314      14.913132      10.593158            nan  OK
     2.300000       0.000000       0.000000      -0.000000       0.000000       8.814579       8.764924      14.101159       0.000000      10.560221       0.000263       0.000238       0.003192      -0.000000       8.065559       8.750952      14.060671      10.292394            nan  OK
     2.400000       0.000000       0.000000      -0.000000       0.000000       8.783388       8.734733      13.296063       0.000000      10.271395       0.000259       0.000236       0.003012      -0.000000       8.039432       8.720842      13.258391      10.006222            nan  OK
     2.500000       0.000000       0.000000      -0.000000       0.000000       8.753074       8.704933      12.569211       0.000000      10.009073       0.000257       0.000235       0.002780       0.000000       8.014106       8.691159      12.534517       9.746594            nan  OK
     2.600000       0.000000       0.000000      -0.000000       0.000000       8.726052       8.678026      11.933036       0.000000       9.779038       0.000250       0.000226       0.002516       0.000000       7.991577       8.664372      11.901288       9.519079            nan  OK
     2.700000       0.000000       0.000000      -0.000000       0.000000       8.703444       8.655201      11.388751       0.000000       9.582465       0.000254       0.000238       0.002262      -0.000000       7.972794       8.641703      11.359821       9.324773            nan  OK
     2.800000       0.000000       0.000000      -0.000000      -0.000000       8.685608       8.636920      10.930851       0.000000       9.417793       0.000246       0.000228       0.002000      -0.000000       7.958013       8.623540      10.904484       9.162012            nan  OK
     2.900000       0.000000       0.000000      -0.000000      -0.000000       8.672317       8.622995      10.550232       0.000000       9.281848       0.000249       0.000233       0.001772       0.000000       7.947073       8.609750      10.526188       9.027670            nan  OK
     3.000000       0.000000       0.000000      -0.000000      -0.000000       8.663137       8.613046      10.236617       0.000000       9.170933       0.000248       0.000232       0.001559      -0.000000       7.939580       8.599914      10.214601       8.918032            nan  OK
     3.100000       0.000000       0.000000      -0.000000      -0.000000       8.657475       8.606508       9.979743       0.000000       9.081242       0.000247       0.000231       0.001370      -0.000000       7.935040       8.593479       9.959483       8.829334            nan  OK
     3.200000       0.000000       0.000000      -0.000000      -0.000000       8.654716       8.602792       9.770166       0.000000       9.009225       0.000245       0.000230       0.001205      -0.000000       7.932932       8.589856       9.751406       8.758065            nan  OK
     3.300000       0.000000       0.000000      -0.000000      -0.000000       8.654271       8.601333       9.599561       0.000000       8.951722       0.000243       0.000228       0.001061       0.000000       7.932762       8.588480       9.582066       8.701103            nan  OK
     3.400000       0.000000       0.000000      -0.000000      -0.000000       8.655615       8.601624       9.460800       0.000000       8.906013       0.000242       0.000227       0.000936      -0.000000       7.934086       8.588845       9.444362       8.655764            nan  OK
     3.500000       0.000000       0.000000      -0.000000      -0.000000       8.658293       8.603228       9.347900       0.000000       8.869807       0.000241       0.000226       0.000830      -0.000000       7.936523       8.590517       9.332339       8.619793            nan  OK
     3.600000       0.000000       0.000000      -0.000000      -0.000000       8.661932       8.605789       9.255915       0.000000       8.841212       0.000240       0.000224       0.000740       0.000000       7.939757       8.593138       9.241074       8.591323            nan  OK
     3.700000       0.000000       0.000000      -0.000000       0.000000       8.666230       8.609019       9.180788       0.000000       8.818679       0.000238       0.000223       0.000663      -0.000000       7.943535       8.596422       9.166533       8.568830            nan  OK
     3.800000       0.000000       0.000000      -0.000000      -0.000000       8.670951       8.612695       9.119216       0.000000       8.800954       0.000237       0.000221       0.000597       0.000000       7.947659       8.600148       9.105435       8.551080            nan  OK
     3.900000       0.000000       0.000000      -0.000000      -0.000000       8.675912       8.616648       9.068523       0.000000       8.787027       0.000237       0.000221       0.000542      -0.000000       7.951977       8.604147       9.055122       8.537082            nan  OK
     4.000000       0.000000       0.000000      -0.000000      -0.000000       8.680983       8.620752       9.026551       0.000000       8.776096       0.000237       0.000220       0.000495      -0.000000       7.956378       8.608294       9.013452       8.526041            nan  OK
     4.100000       0.000000       0.000000      -0.000000      -0.000000       8.686066       8.624918       8.991566       0.000000       8.767517       0.000236       0.000219       0.000455       0.000000       7.960780       8.612499       8.978704       8.517327            nan  OK
     4.200000       0.000000       0.000000      -0.000000       0.000000       8.691092       8.629081       8.962177       0.000000       8.760783       0.000235       0.000217       0.000422       0.000000       7.965126       8.616695       8.949499       8.510440            nan  OK
