# molecule         = LiH
# geometry         = Li 0 0 0; H 0 0 {R:.6f}
# basis            = sadlej
# basis_source     = sadlej.gbs
# lambda           = 0.000000
# omega            = 0.120800
# mode_dir         = [1.0, 0.0, 0.0]
# scheme           = general
# offdiag          = none
# method           = QED-FCI
# nboson_max       = 20
# n_fock_states    = 21
# ff_step_h        = 0.0005
# n_field_points   = 13
# fci_tol          = 1e-11
# fci_max_cycle    = 300
# scf_conv_tol     = 1e-12
# center_geometry  = True
# frozen_core_orbitals = 1
# coherent_state   = True
# z_selfconsistent_iter = 4
# R_range_Ang      = 0.8:0.1:6.0
# R_e_ref_Ang      = 1.5957
# pyscf            = 2.11.0
# python           = 3.13.12
# host             = fedora
# date             = 2026-08-16 12:31:09
# columns          = R,mu_abs,mu_x,mu_y,mu_z,a_xx,a_yy,a_zz,a_xz,a_iso,err_xx,err_yy,err_zz,dse_mu_z,dse_a_xx,dse_a_yy,dse_a_zz,dse_a_iso,boson_gap,status
#             R         mu_abs           mu_x           mu_y           mu_z           a_xx           a_yy           a_zz           a_xz          a_iso         err_xx         err_yy         err_zz       dse_mu_z       dse_a_xx       dse_a_yy       dse_a_zz      dse_a_iso      boson_gap         status
     0.800000       1.896573       0.000000       0.000000      -1.896573      27.341219      27.341217      13.388170       0.000000      22.690202       0.003401       0.003402       0.002868      -1.896573      27.341221      27.341221      13.388169      22.690204            nan  OK
     0.900000       1.908895      -0.000000       0.000000      -1.908895      25.358718      25.358724      13.276514       0.000000      21.331319       0.002859       0.002855       0.002473      -1.908895      25.358726      25.358726      13.276516      21.331323            nan  OK
     1.000000       1.939250      -0.000000       0.000000      -1.939250      24.582959      24.582963      13.873913       0.000000      21.013278       0.002636       0.002632       0.002470      -1.939250      24.582966      24.582966      13.873915      21.013282            nan  OK
     1.100000       1.983606      -0.000000       0.000000      -1.983606      24.542591      24.542595      14.970826       0.000000      21.352004       0.002600       0.002597       0.002693      -1.983606      24.542597      24.542597      14.970827      21.352007            nan  OK
     1.200000       2.038857      -0.000000       0.000000      -2.038857      24.997972      24.997975      16.493699       0.000000      22.163215       0.002693       0.002690       0.003110      -2.038857      24.997978      24.997978      16.493701      22.163219            nan  OK
     1.300000       2.102735      -0.000000       0.000000      -2.102735      25.828957      25.828962      18.423004       0.000000      23.360308       0.002885       0.002882       0.003756      -2.102735      25.828964      25.828964      18.423005      23.360311            nan  OK
     1.400000       2.173438      -0.000000       0.000000      -2.173438      26.973009      26.973014      20.760332       0.000000      24.902119       0.003166       0.003162       0.004705      -2.173438      26.973017      26.973017      20.760334      24.902123            nan  OK
     1.500000       2.249332      -0.000000       0.000000      -2.249332      28.385292      28.385297      23.522334       0.000000      26.764308       0.003531       0.003527       0.006055      -2.249332      28.385301      28.385301      23.522336      26.764313            nan  OK
     1.600000       2.328899       0.000000       0.000000      -2.328899      30.025613      30.025611      26.748053       0.000000      28.933092       0.003978       0.003980       0.007930      -2.328899      30.025616      30.025616      26.748057      28.933096            nan  OK
     1.700000       2.410766      -0.000000      -0.000000      -2.410766      31.864182      31.864183      30.504802       0.000000      31.411056       0.004525       0.004524       0.010501      -2.410766      31.864182      31.864182      30.504807      31.411057            nan  OK
     1.800000       2.493647      -0.000000      -0.000000      -2.493647      33.886472      33.886473      34.889512       0.000000      34.220819       0.005183       0.005182       0.013997      -2.493647      33.886471      33.886471      34.889512      34.220818            nan  OK
     1.900000       2.576254       0.000000       0.000000      -2.576254      36.091698      36.091699      40.029574       0.000000      37.404324       0.005970       0.005969       0.018751      -2.576254      36.091698      36.091698      40.029574      37.404323            nan  OK
     2.000000       2.657225       0.000000       0.000000      -2.657225      38.489186      38.489187      46.086034       0.000000      41.021469       0.006901       0.006901       0.025193      -2.657225      38.489185      38.489185      46.086033      41.021468            nan  OK
     2.100000       2.735076      -0.000000       0.000000      -2.735076      41.095464      41.095465      53.259378       0.000000      45.150102       0.008010       0.008009       0.033901      -2.735076      41.095469      41.095469      53.259381      45.150106            nan  OK
     2.200000       2.808168       0.000000       0.000000      -2.808168      43.932576      43.932577      61.797334       0.000000      49.887496       0.009314       0.009313       0.045580      -2.808168      43.932583      43.932583      61.797334      49.887500            nan  OK
     2.300000       2.874662       0.000000       0.000000      -2.874662      47.027174      47.027175      72.003188       0.000000      55.352512       0.010848       0.010848       0.061092      -2.874662      47.027184      47.027184      72.003187      55.352518            nan  OK
     2.400000       2.932494       0.000000       0.000000      -2.932494      50.410076      50.410071      84.242773       0.000000      61.687640       0.012639       0.012643       0.081318      -2.932494      50.410085      50.410085      84.242772      61.687647            nan  OK
     2.500000       2.979345       0.000000       0.000000      -2.979345      54.115811      54.115802      98.946535       0.000000      69.059383       0.014727       0.014734       0.106947      -2.979345      54.115824      54.115824      98.946532      69.059393            nan  OK
     2.600000       3.012632       0.000000      -0.000000      -3.012632      58.181901      58.181901     116.601419       0.000000      77.655074       0.017123       0.017123       0.137998      -3.012632      58.181908      58.181908     116.601428      77.655081            nan  OK
     2.700000       3.029512       0.000000      -0.000000      -3.029512      62.647325      62.647325     137.724443       0.000000      87.673031       0.019856       0.019857       0.172943      -3.029512      62.647335      62.647335     137.724442      87.673037            nan  OK
     2.800000       3.026942       0.000000       0.000000      -3.026942      67.549935      67.549933     162.806468       0.000000      99.302112       0.022913       0.022914       0.207459      -3.026942      67.549947      67.549947     162.806463      99.302119            nan  OK
     2.900000       3.001791      -0.000000      -0.000000      -3.001791      72.922134      72.922130     192.213279       0.000000     112.685848       0.026238       0.026241       0.232768      -3.001791      72.922136      72.922136     192.213275     112.685849            nan  OK
     3.000000       2.951062      -0.000000      -0.000000      -2.951062      78.784462      78.784473     226.033524       0.000000     127.867486       0.029766       0.029757       0.234470      -2.951062      78.784477      78.784477     226.033612     127.867522            nan  OK
     3.100000       2.872232      -0.000000      -0.000000      -2.872232      85.137199      85.137212     263.877297       0.000000     144.717236       0.033314       0.033305       0.193249      -2.872232      85.137221      85.137221     263.877297     144.717246            nan  OK
     3.200000       2.763724      -0.000000      -0.000000      -2.763724      91.950266      91.950280     304.659017       0.000000     162.853188       0.036658       0.036648       0.089920      -2.763724      91.950290      91.950290     304.659015     162.853199            nan  OK
     3.300000       2.625454       0.000000      -0.000000      -2.625454      99.153700      99.153695     346.443943       0.000000     181.583779       0.039502       0.039506       0.083921      -2.625454      99.153717      99.153717     346.443948     181.583794            nan  OK
     3.400000       2.459347      -0.000000      -0.000000      -2.459347     106.631771     106.631778     386.476723       0.000000     199.913424       0.041543       0.041537       0.312144      -2.459347     106.631779     106.631779     386.476723     199.913427            nan  OK
     3.500000       2.269623      -0.000000      -0.000000      -2.269623     114.224833     114.224839     421.499497       0.000000     216.649723       0.042511       0.042506       0.546088      -2.269623     114.224841     114.224841     421.499497     216.649726            nan  OK
     3.600000       2.062669      -0.000000      -0.000000      -2.062669     121.741737     121.741743     448.364614       0.000000     230.616031       0.042235       0.042231       0.713587      -2.062669     121.741756     121.741756     448.364620     230.616044            nan  OK
