# molecule         = LiH
# geometry         = Li 0 0 0; H 0 0 {R:.6f}
# basis            = sadlej
# basis_source     = sadlej.gbs
# lambda           = 0.025000
# omega            = 0.120800
# mode_dir         = [0.0, 0.0, 1.0]
# scheme           = axial
# offdiag          = none
# method           = QED-FCI
# nboson_max       = 20
# n_fock_states    = 21
# ff_step_h        = 0.0005
# n_field_points   = 9
# fci_tol          = 1e-11
# fci_max_cycle    = 300
# scf_conv_tol     = 1e-12
# center_geometry  = True
# frozen_core_orbitals = 1
# coherent_state   = True
# z_selfconsistent_iter = 4
# R_range_Ang      = 0.8:0.1:6.0
# R_e_ref_Ang      = 1.5957
# pyscf            = 2.11.0
# python           = 3.13.12
# host             = fedora
# date             = 2026-08-14 14:21:12
# columns          = R,mu_abs,mu_x,mu_y,mu_z,a_xx,a_yy,a_zz,a_xz,a_iso,err_xx,err_yy,err_zz,dse_mu_z,dse_a_xx,dse_a_yy,dse_a_zz,dse_a_iso,boson_gap,status
#             R         mu_abs           mu_x           mu_y           mu_z           a_xx           a_yy           a_zz           a_xz          a_iso         err_xx         err_yy         err_zz       dse_mu_z       dse_a_xx       dse_a_yy       dse_a_zz      dse_a_iso      boson_gap         status
     0.800000       1.895154      -0.000000       0.000000      -1.895154      27.230232      27.230232      13.262659       0.000000      22.574375       0.003320       0.003320       0.002744      -1.895183      27.061580      27.061580      12.869316      22.330825       0.000000  OK
     0.900000       1.907735      -0.000000       0.000000      -1.907735      25.258926      25.258926      13.158683       0.000000      21.225512       0.002800       0.002800       0.002366      -1.907937      25.113146      25.113146      12.796025      21.007439            nan  OK
     1.000000       1.938314      -0.000000       0.000000      -1.938314      24.486758      24.486758      13.755184       0.000000      20.909567       0.002580       0.002580       0.002366      -1.938798      24.346961      24.346961      13.379389      20.691104            nan  OK
     1.100000       1.982865      -0.000000       0.000000      -1.982865      24.445340      24.445340      14.846987       0.000000      21.245889       0.002550       0.002550       0.002584      -1.983697      24.301707      24.301707      14.429470      21.010961            nan  OK
     1.200000       2.038311       0.000000       0.000000      -2.038311      24.896645      24.896645      16.361595       0.000000      22.051628       0.002638       0.002638       0.002993      -2.039569      24.742137      24.742137      15.875735      21.786670            nan  OK
     1.300000       2.102430       0.000000       0.000000      -2.102430      25.721678      25.721678      18.277357       0.000000      23.240238       0.002829       0.002829       0.003626      -2.104223      25.550496      25.550496      17.691786      22.930926            nan  OK
     1.400000       2.173434       0.000000       0.000000      -2.173434      26.858601      26.858601      20.592633       0.000000      24.769945       0.003107       0.003107       0.004554      -2.175902      26.665303      26.665303      19.867854      24.399487            nan  OK
     1.500000       2.249674      -0.000000       0.000000      -2.249674      28.262738      28.262738      23.322883       0.000000      26.616120       0.003464       0.003464       0.005869      -2.252991      28.041529      28.041529      22.409994      26.164350            nan  OK
     1.600000       2.329619      -0.000000       0.000000      -2.329619      29.893787      29.893787      26.507843       0.000000      28.765139       0.003911       0.003911       0.007690      -2.334001      29.637999      29.637999      25.346468      28.207489            nan  OK
     1.700000       2.411900      -0.000000       0.000000      -2.411900      31.721849      31.721849      30.215563       0.000000      31.219754       0.004454       0.004454       0.010189      -2.417616      31.423577      31.423577      28.729723      30.525625            nan  OK
