# molecule         = LiH
# geometry         = Li 0 0 0; H 0 0 {R:.6f}
# basis            = sadlej
# basis_source     = sadlej.gbs
# lambda           = 0.025000
# omega            = 0.006400
# mode_dir         = [1.0, 0.0, 0.0]
# scheme           = general
# offdiag          = none
# method           = QED-FCI
# nboson_max       = 20
# n_fock_states    = 21
# ff_step_h        = 0.0005
# n_field_points   = 13
# fci_tol          = 1e-11
# fci_max_cycle    = 300
# scf_conv_tol     = 1e-12
# center_geometry  = True
# frozen_core_orbitals = 1
# coherent_state   = True
# z_selfconsistent_iter = 4
# R_range_Ang      = 0.8:0.1:6.0
# R_e_ref_Ang      = 1.5957
# pyscf            = 2.11.0
# python           = 3.13.12
# host             = fedora
# date             = 2026-08-16 16:38:13
# columns          = R,mu_abs,mu_x,mu_y,mu_z,a_xx,a_yy,a_zz,a_xz,a_iso,err_xx,err_yy,err_zz,dse_mu_z,dse_a_xx,dse_a_yy,dse_a_zz,dse_a_iso,boson_gap,status
#             R         mu_abs           mu_x           mu_y           mu_z           a_xx           a_yy           a_zz           a_xz          a_iso         err_xx         err_yy         err_zz       dse_mu_z       dse_a_xx       dse_a_yy       dse_a_zz      dse_a_iso      boson_gap         status
     0.800000       1.897188      -0.000000      -0.000000      -1.897188      26.828253      27.113796      13.166199       0.000000      22.369416       0.002958       0.003174       0.002610      -1.897353      26.342949      27.098217      13.148547      22.196571       0.000000  OK
     0.900000       1.909584      -0.000000       0.000000      -1.909584      24.907528      25.160915      13.081894       0.000000      21.050112       0.002497       0.002683       0.002285      -1.909733      24.489535      25.147825      13.066952      20.901437            nan  OK
     1.000000       1.940135      -0.000000       0.000000      -1.940135      24.156409      24.397396      13.686225       0.000000      20.746676       0.002278       0.002452       0.002276      -1.940287      23.763641      24.385278      13.671904      20.606941            nan  OK
     1.100000       1.984757      -0.000000      -0.000000      -1.984757      24.117145      24.358312      14.777555       0.000000      21.084337       0.002313       0.002486       0.002564      -1.984921      23.726074      24.346461      14.762857      20.945131            nan  OK
     1.200000       2.040326      -0.000000       0.000000      -2.040326      24.557032      24.807298      16.285634       0.000000      21.883321       0.002398       0.002569       0.002965      -2.040510      24.151731      24.795018      16.269599      21.738783            nan  OK
     1.300000       2.104575      -0.000000       0.000000      -2.104575      25.359223      25.625495      18.192248       0.000000      23.058989       0.002570       0.002761       0.003598      -2.104786      24.927084      25.612357      18.174146      22.904529            nan  OK
     1.400000       2.175702      -0.000000       0.000000      -2.175702      26.463445      26.751425      20.499747       0.000000      24.571539       0.002812       0.003020       0.004505      -2.175947      25.992920      26.737010      20.478782      24.402904            nan  OK
     1.500000       2.252074      -0.000000       0.000000      -2.252074      27.826697      28.141284      23.224665       0.000000      26.397549       0.003082       0.003313       0.005752      -2.252361      27.306526      28.125142      23.199887      26.210518            nan  OK
     1.600000       2.332175      -0.000000       0.000000      -2.332175      29.409417      29.755253      26.404686       0.000000      28.523119       0.003556       0.003815       0.007632      -2.332513      28.828780      29.737219      26.375250      28.313749            nan  OK
     1.700000       2.414639      -0.000000      -0.000000      -2.414639      31.182089      31.564041      30.105673       0.000000      30.950601       0.004041       0.004335       0.010115      -2.415039      30.529673      31.543589      30.070148      30.714470            nan  OK
     1.800000       2.498196      -0.000000      -0.000000      -2.498196      33.129367      33.552759      34.422148       0.000000      33.701425       0.004624       0.004964       0.013505      -2.498670      32.393291      33.529441      34.378885      33.433872            nan  OK
     1.900000       2.581574      -0.000000      -0.000000      -2.581574      35.249489      35.720196      39.478840       0.000000      36.816175       0.005313       0.005710       0.018104      -2.582136      34.416584      35.693485      39.425731      36.511933            nan  OK
     2.000000       2.663431      -0.000000      -0.000000      -2.663431      37.550619      38.075113      45.433654       0.000000      40.353129       0.006145       0.006607       0.024358      -2.664101      36.605905      38.044427      45.368067      40.006133            nan  OK
     2.100000       2.742307      -0.000000       0.000000      -2.742307      40.048137      40.633511      52.483607       0.000000      44.388418       0.007105       0.007647       0.032805      -2.743106      38.974179      40.598125      52.402174      43.991492            nan  OK
     2.200000       2.816582      -0.000000       0.000000      -2.816582      42.762833      43.416789      60.872504       0.000000      49.017375       0.008230       0.008877       0.044180      -2.817538      41.539208      43.375901      60.771087      48.562065            nan  OK
     2.300000       2.884443      -0.000000       0.000000      -2.884443      45.720176      46.451025      70.899740       0.000000      54.356980       0.009561       0.010321       0.059312      -2.885588      44.322809      46.403711      70.773245      53.833255            nan  OK
     2.400000       2.943852       0.000000      -0.000000      -2.943852      48.950033      49.766534      82.927905       0.000000      60.548157       0.011122       0.011996       0.079043      -2.945223      47.350373      49.711729      82.770131      59.944078            nan  OK
     2.500000       2.992512      -0.000000       0.000000      -2.992512      52.486417      53.397546      97.385758       0.000000      67.756574       0.012877       0.013890       0.104189      -2.994154      50.650518      53.334004      97.189670      67.058064            nan  OK
     2.600000       3.027858       0.000000      -0.000000      -3.027858      56.366614      57.381186     114.762166       0.000000      76.169989       0.015034       0.016186       0.134995      -3.029823      54.254507      57.307836     114.520358      75.360900            nan  OK
     2.700000       3.047059       0.000000      -0.000000      -3.047059      60.630851      61.756907     135.583020       0.000000      85.990259       0.017522       0.018816       0.170121      -3.049403      58.195106      61.672494     135.288268      85.051956            nan  OK
