# molecule         = LiH
# geometry         = Li 0 0 0; H 0 0 {R:.6f}
# basis            = sadlej
# basis_source     = sadlej.gbs
# lambda           = 0.100000
# omega            = 0.006400
# mode_dir         = [0.0, 0.0, 1.0]
# scheme           = axial
# offdiag          = none
# method           = QED-FCI
# nboson_max       = 20
# n_fock_states    = 21
# ff_step_h        = 0.0005
# n_field_points   = 9
# fci_tol          = 1e-11
# fci_max_cycle    = 300
# scf_conv_tol     = 1e-12
# center_geometry  = True
# frozen_core_orbitals = 1
# coherent_state   = True
# z_selfconsistent_iter = 4
# R_range_Ang      = 0.8:0.1:6.0
# R_e_ref_Ang      = 1.5957
# pyscf            = 2.11.0
# python           = 3.13.12
# host             = fedora
# date             = 2026-08-14 11:44:23
# columns          = R,mu_abs,mu_x,mu_y,mu_z,a_xx,a_yy,a_zz,a_xz,a_iso,err_xx,err_yy,err_zz,dse_mu_z,dse_a_xx,dse_a_yy,dse_a_zz,dse_a_iso,boson_gap,status
#             R         mu_abs           mu_x           mu_y           mu_z           a_xx           a_yy           a_zz           a_xz          a_iso         err_xx         err_yy         err_zz       dse_mu_z       dse_a_xx       dse_a_yy       dse_a_zz      dse_a_iso      boson_gap         status
     0.800000       1.868901      -0.000000       0.000000      -1.868901      24.379987      24.379987      10.318124       0.000000      19.692700       0.001948       0.001948       0.000582      -1.868684      24.272859      24.272859       9.255229      19.266982       0.000000  OK
     0.900000       1.886411      -0.000000       0.000000      -1.886411      22.711985      22.711985      10.378353       0.000000      18.600775       0.001666       0.001666       0.000535      -1.886294      22.617363      22.617363       9.309791      18.181505            nan  OK
     1.000000       1.921873      -0.000000       0.000000      -1.921873      22.020279      22.020279      10.888573       0.000000      18.309710       0.001563       0.001563       0.000586      -1.921890      21.928574      21.928574       9.723376      17.860174            nan  OK
     1.100000       1.971326      -0.000000       0.000000      -1.971326      21.925564      21.925564      11.746413       0.000000      18.532514       0.001546       0.001546       0.000653      -1.971499      21.831078      21.831078      10.407469      18.023208            nan  OK
     1.200000       2.032487      -0.000000       0.000000      -2.032487      22.239130      22.239130      12.890649       0.000000      19.122970       0.001602       0.001602       0.000731      -2.032849      22.138333      22.138333      11.302222      18.526296            nan  OK
     1.300000       2.103761      -0.000000       0.000000      -2.103761      22.874322      22.874322      14.260227       0.000000      20.002957       0.001735       0.001735       0.000892      -2.104349      22.764893      22.764893      12.347700      19.292496            nan  OK
     1.400000       2.183260      -0.000000       0.000000      -2.183260      23.780237      23.780237      15.821002       0.000000      21.127159       0.001876       0.001876       0.001071      -2.184107      23.659888      23.659888      13.506889      20.275555            nan  OK
     1.500000       2.269054      -0.000000       0.000000      -2.269054      24.907139      24.907139      17.577534       0.000000      22.463937       0.002131       0.002131       0.001332      -2.270203      24.773333      24.773333      14.772706      21.439791            nan  OK
     1.600000       2.359708      -0.000000       0.000000      -2.359708      26.207262      26.207262      19.555086       0.000000      23.989870       0.002432       0.002432       0.001683      -2.361213      26.057050      26.057050      16.151409      22.755170            nan  OK
     1.700000       2.454249      -0.000000       0.000000      -2.454249      27.643987      27.643987      21.788262       0.000000      25.692078       0.002785       0.002785       0.002116      -2.456173      27.474086      27.474086      17.652558      24.200244            nan  OK
     1.800000       2.551894      -0.000000       0.000000      -2.551894      29.195303      29.195303      24.320178       0.000000      27.570261       0.003135       0.003135       0.002700      -2.554308      29.002092      29.002092      19.287314      25.763833            nan  OK
     1.900000       2.651873      -0.000000       0.000000      -2.651873      30.851177      30.851177      27.205255       0.000000      29.635870       0.003635       0.003635       0.003451      -2.654861      30.630687      30.630687      21.068689      27.443354            nan  OK
     2.000000       2.753375      -0.000000       0.000000      -2.753375      32.610441      32.610441      30.513206       0.000000      31.911363       0.004203       0.004203       0.004445      -2.757033      32.358030      32.358030      23.012147      29.242736            nan  OK
     2.100000       2.855529      -0.000000       0.000000      -2.855529      34.477867      34.477867      34.334646       0.000000      34.430127       0.004821       0.004821       0.005740      -2.859970      34.188065      34.188065      25.136136      31.170755            nan  OK
